distance,alpha,order,pdet,eps,eps_err
49,0.0,25,0.10985914583333334,2.0000196004898996e-07,2.0000292005506198e-07
49,0.0827,25,0.11240382916666666,6.000176406839586e-07,3.464253351441624e-07
49,0.1653,25,0.1285609875,4.0000784018445756e-07,2.8285097179602303e-07
49,0.248,25,0.12889592916666667,2.0000196004898996e-07,2.0000292005506198e-07
49,0.3307,25,0.14389059166666668,3.0004410873640808e-06,7.747663543041101e-07
49,0.4134,25,0.15792832083333333,7.402684551238714e-06,1.2172101503587036e-06
49,0.496,25,0.18757264166666668,5.8016489912771085e-06,1.0774892287540708e-06
49,0.5787,25,0.2183463125,7.003983549208614e-05,3.755473520305661e-06
49,0.6614,25,0.2347730125,0.00015882986003412647,5.679841491427174e-06
49,0.7441,25,0.2649116625,0.00046587825705390884,9.875232483325298e-06
49,0.8267,25,0.293267025,0.0017409720353988023,2.0358464987550167e-05
49,0.9094,25,0.3186306875,0.0030766923884071873,2.904011517144529e-05
49,0.9921,25,0.3394350916666667,0.00463467819940816,3.8850042432567336e-05
49,1.0748,25,0.38070661666666666,0.01235406219548768,0.00010323843011100657
49,1.1574,25,0.4050659125,0.036848385649759396,0.0013458338388487232
49,1.2401,25,0.4235868208333333,0.01157383710381421,9.471841621538254e-05
49,1.3228,25,0.44847885416666666,0.02013888279606091,0.00023511449008682098
49,1.4054,25,0.4628077666666667,0.01872163318550768,0.00020289743920686595
49,1.4881,25,0.4713742458333333,0.03385801835248092,0.0009816162617650077
49,1.5708,25,0.47877375,0.06062787934550129,0.017813012192350302
3,0.0,2,0.10578722,0.0036797688531253203,1.0378485915877093e-05
3,0.0827,2,0.10800874,0.0034944050571332763,1.0011415024591485e-05
3,0.1653,2,0.1244989,0.004358257145949396,1.172906251669895e-05
3,0.248,2,0.12446451,0.005696510272671151,1.4479254863888853e-05
3,0.3307,2,0.13906637,0.007443708053826159,1.8380722468616806e-05
3,0.4134,2,0.15333717,0.010322743189242034,2.6010880894442354e-05
3,0.496,2,0.18361639,0.013972307372613346,3.890362451853518e-05
3,0.5787,2,0.21406926,0.0204527217064554,7.681230461413769e-05
3,0.6614,2,0.23072887,0.02560403234208508,0.00013106501433103246
3,0.7441,2,0.26170511,0.035829175433418514,0.0003821095978042267
3,0.8267,2,0.29003121,0.04847448688107009,0.0014794138315450919
3,0.9094,2,0.31549072,0.05669406058758186,0.0036396110353074454
3,0.9921,2,0.33635459,0.06434569718952687,0.008542236787902684
3,1.0748,2,0.3782135,0.06776316636867596,0.012565021259678556
3,1.1574,2,0.40324936,0.5,0.0
3,1.2401,2,0.42187517,0.5,0.0
3,1.3228,2,0.44748884,0.5,0.0
3,1.4054,2,0.46212431,0.5,0.0
3,1.4881,2,0.47096109,0.5,0.0
3,1.5708,2,0.47867797,0.06674376282788852,0.01119524825310997
5,0.0,3,0.105501735,0.001648170438474983,6.234112858267009e-06
5,0.0827,3,0.107548235,0.0015340732143884206,5.979349110753256e-06
5,0.1653,3,0.124184445,0.0019279953787094684,6.840771483122145e-06
5,0.248,3,0.1238926,0.0026626118967533197,8.355554696728378e-06
5,0.3307,3,0.138203725,0.0036429846698989854,1.0305622069210076e-05
5,0.4134,3,0.15207918,0.005116159825793443,1.3267597426577807e-05
5,0.496,3,0.18256977,0.00748148325088277,1.8470162016713638e-05
5,0.5787,3,0.213326405,0.011325419887346255,2.913437251511278e-05
5,0.6614,3,0.22990893,0.014725445971150053,4.216286685546398e-05
5,0.7441,3,0.260901745,0.021574037094916676,8.62887354773143e-05
5,0.8267,3,0.28944025,0.03011992474130043,0.00020976371037322337
5,0.9094,3,0.31461092,0.03980367512322358,0.0005824542779571136
5,0.9921,3,0.335096455,0.05591343248939046,0.0033389849354763463
5,1.0748,3,0.377453005,0.5,0.0
5,1.1574,3,0.402534295,0.09089097719759254,0.18595864654864228
5,1.2401,3,0.421457535,0.07401651128159764,0.025661654532626563
5,1.3228,3,0.44705983,0.5,0.0
5,1.4054,3,0.46194779,0.5,0.0
5,1.4881,3,0.470941445,0.5,0.0
5,1.5708,3,0.478806935,0.06255637589934449,0.006987911841105352
7,0.0,4,0.10444883,0.0009000772352226738,4.435311957079733e-06
7,0.0827,4,0.10629426333333333,0.0008303002390480652,4.245079216054856e-06
7,0.1653,4,0.12299283666666666,0.0009853046635867613,4.6604343090496295e-06
7,0.248,4,0.12332968333333333,0.001362021924345591,5.584799405123449e-06
7,0.3307,4,0.13685365666666666,0.001924177507505176,6.8326407674588545e-06
7,0.4134,4,0.15055425333333333,0.0029878011628851064,9.006430717686465e-06
7,0.496,4,0.18199300333333332,0.004544427545277452,1.2103277039793454e-05
7,0.5787,4,0.21319576333333334,0.007412974355913982,1.8308132821178113e-05
7,0.6614,4,0.22908636666666668,0.009904379385842377,2.4786749246918095e-05
7,0.7441,4,0.25922411666666667,0.014869524811107593,4.281398500674018e-05
7,0.8267,4,0.28816563,0.02201080788787596,9.028664792727156e-05
7,0.9094,4,0.31335129,0.03075308872225191,0.0002241197199787779
7,0.9921,4,0.33622769,0.04591009288052095,0.0011208960826914844
7,1.0748,4,0.37617622333333334,0.053287368152816206,0.0025011745912305277
7,1.1574,4,0.40178358,0.5,0.0
7,1.2401,4,0.42101147666666666,0.06665465134009646,0.01108299785573681
7,1.3228,4,0.4464592133333333,0.06062787934550129,0.005632969051617633
7,1.4054,4,0.4615469133333333,0.5,0.0
7,1.4881,4,0.47059354,0.06814841071863242,0.01312618528246901
7,1.5708,4,0.47862823,0.07371389858613592,0.024784074197179724
9,0.0,5,0.1043342525,0.000606520573836089,3.5880137846280557e-06
9,0.0827,5,0.1060916925,0.0005630796057378706,3.4497032501946917e-06
9,0.1653,5,0.1230624725,0.0006579310438650232,3.7465309993478895e-06
9,0.248,5,0.1234699125,0.0009226911179503472,4.495775268727834e-06
9,0.3307,5,0.1363980375,0.0013041905105972695,5.448898476683817e-06
9,0.4134,5,0.150091955,0.0020528389300980554,7.104771219536844e-06
9,0.496,5,0.1825343075,0.0031566269171962036,9.342067454839597e-06
9,0.5787,5,0.213663755,0.005311640532857376,1.3671979373217822e-05
9,0.6614,5,0.2289210775,0.0072142808575110795,1.7842629040969358e-05
9,0.7441,5,0.2585605625,0.011190691747181514,2.8698246531763295e-05
9,0.8267,5,0.2875086175,0.017093703034501195,5.4130826442973245e-05
9,0.9094,5,0.31271527,0.024811580438795333,0.00012071517618594548
9,0.9921,5,0.337312955,0.03747852987685146,0.0004549644794706194
9,1.0748,5,0.3755363375,0.05203215583894749,0.002179873774142374
9,1.1574,5,0.401377355,0.06451820502196065,0.008709631544742708
9,1.2401,5,0.4207189425,0.06822752187320086,0.013244551728608016
9,1.3228,5,0.4460819125,0.08019036288458314,0.052476203967752016
9,1.4054,5,0.4613389,0.5,0.0
9,1.4881,5,0.470240475,0.5,0.0
9,1.5708,5,0.47839399,0.07164929448110546,0.019559391069894815
11,0.0,6,0.104700712,0.0004433982227123878,3.0431736953775903e-06
11,0.0827,6,0.1063283,0.0004310187891652939,2.998561544413465e-06
11,0.1653,6,0.12369075,0.0004834576460011619,3.1839555976625815e-06
11,0.248,6,0.124156994,0.0006869638164055947,3.83382756370474e-06
11,0.3307,6,0.136596322,0.0009513695783217035,4.5716791496380626e-06
11,0.4134,6,0.149881714,0.0015655091561832535,6.050039980805166e-06
11,0.496,6,0.18342745,0.002410809258247215,7.845273774420011e-06
11,0.5787,6,0.214528676,0.004112664450288794,1.123822873631231e-05
11,0.6614,6,0.229241406,0.005611139332507287,1.4298834090816446e-05
11,0.7441,6,0.2583029,0.008891781384237518,2.1997301710740026e-05
11,0.8267,6,0.287378202,0.014111787731743652,3.9489464436768165e-05
11,0.9094,6,0.312287822,0.02084150560393333,7.9974968743386e-05
11,0.9921,6,0.337960854,0.03185448921712025,0.00025151692440879216
