d,i,P_L,err,pdet_mean
3,0,0.033950000000000036,0.001280574041201836,0.07025454545454546
3,1,0.02344999999999997,0.0010700490058871128,0.06724772727272728
3,2,0.02705000000000002,0.001147133329216792,0.07567272727272727
3,3,0.02749999999999997,0.001156368237197822,0.07917045454545454
3,4,0.025249999999999995,0.0011093339781147965,0.07846136363636363
3,5,0.02805000000000002,0.0011675443781715541,0.07687272727272727
3,6,0.027449999999999974,0.001155346214344427,0.06692045454545455
3,7,0.02895000000000003,0.0011855778654310317,0.06628181818181818
3,8,0.03059999999999996,0.001217859597819058,0.06837272727272728
3,9,0.031850000000000045,0.0012416838869051985,0.07472727272727273
3,10,0.030349999999999988,0.0012130308631687816,0.07518863636363636
3,11,0.02939999999999998,0.0011944798030942168,0.06788409090909091
3,12,0.02575000000000005,0.0011199762832310345,0.06352954545454545
3,13,0.025800000000000045,0.0011210343438093242,0.06207045454545455
3,14,0.024499999999999966,0.0010931548380718984,0.062006818181818184
5,0,0.01144999999999996,0.0007522930778626094,0.07296363636363637
5,1,0.009750000000000036,0.0006947998812607856,0.0732090909090909
5,2,0.009199999999999986,0.0006751059176158948,0.07706704545454546
5,3,0.010000000000000009,0.0007035623639735148,0.07802159090909092
5,4,0.011299999999999977,0.000747405846913174,0.0726909090909091
5,5,0.011299999999999977,0.000747405846913174,0.07157727272727273
5,6,0.010149999999999992,0.0007087657405659501,0.0676465909090909
5,7,0.0121,0.0007730973418658223,0.07050454545454546
5,8,0.010600000000000054,0.0007241422512186419,0.07178068181818181
5,9,0.010399999999999965,0.000717350681326782,0.07130568181818182
5,10,0.007850000000000024,0.0006240343540222775,0.06935909090909091
5,11,0.007650000000000046,0.0006160956703305115,0.06497727272727273
5,12,0.008099999999999996,0.0006338134583613697,0.06276818181818182
7,0,0.005700000000000038,0.0005323302546352235,0.07479621212121212
7,1,0.004149999999999987,0.0004545754887804658,0.07443030303030303
7,2,0.004750000000000032,0.0004861809076876648,0.07368484848484848
7,3,0.005349999999999966,0.0005158186454559376,0.07410833333333333
7,4,0.005349999999999966,0.0005158186454559376,0.07125151515151515
7,5,0.005149999999999988,0.0005061362217822385,0.07262727272727272
7,6,0.005349999999999966,0.0005158186454559376,0.07016060606060606
7,7,0.004149999999999987,0.0004545754887804658,0.06963106060606061
7,8,0.0027000000000000357,0.0003669271044771724,0.06903030303030303
7,9,0.003650000000000042,0.0004264198342009927,0.06822727272727273
7,10,0.0030000000000000027,0.00038671695075339035,0.06690833333333333
9,0,0.002650000000000041,0.0003635228672312129,0.07282727272727273
9,1,0.0020000000000000018,0.0003159113799786264,0.07239318181818181
9,2,0.0034999999999999476,0.0004175972940525326,0.07235681818181817
9,3,0.003449999999999953,0.00041461412783454167,0.07426306818181819
9,4,0.0031999999999999806,0.0003993594871791567,0.07223579545454545
9,5,0.0027000000000000357,0.0003669271044771724,0.07144147727272727
9,6,0.0018500000000000183,0.00030385666851329905,0.06850284090909091
9,7,0.0014499999999999513,0.00026906295731668,0.06774090909090909
9,8,0.0012499999999999734,0.0002498437011413309,0.06727443181818182
11,0,0.0021999999999999797,0.0003312974494317742,0.07193636363636363
11,1,0.0020000000000000018,0.0003159113799786264,0.07286
11,2,0.0021999999999999797,0.0003312974494317742,0.07292318181818182
11,3,0.0019500000000000073,0.00031194530770633556,0.07298727272727273
11,4,0.0019000000000000128,0.0003079277512664304,0.07049454545454545
11,5,0.0010499999999999954,0.00022900846054239955,0.06956727272727273
11,6,0.0006500000000000394,0.00018021896404097425,0.06720363636363637
13,0,0.0013999999999999568,0.000264389863648359,0.0724784090909091
13,1,0.0014999999999999458,0.0002736558057122072,0.07203068181818181
13,2,0.0012999999999999678,0.0002547852036520143,0.07135757575757576
13,3,0.0010999999999999899,0.00023439176606698345,0.07116780303030303
13,4,0.00039999999999995595,0.0001413930691370613,0.06907992424242425
15,0,0.0009000000000000119,0.00021203655345246628,0.0712
15,1,0.0009500000000000064,0.00021784139872852524,0.0706077922077922
15,2,0.0007500000000000284,0.00019357653525156767,0.07002175324675325
17,0,0.0007500000000000284,0.00019357653525156767,0.07005085227272727
