d,i,P_L,err,pdet_mean
3,0,0.2651,0.003121073453156782,0.2084840909090909
3,1,0.25534999999999997,0.0030833940512039653,0.20960454545454546
3,2,0.25265000000000004,0.003072604575112131,0.2166840909090909
3,3,0.26480000000000004,0.003119943589233626,0.2188159090909091
3,4,0.2471,0.003049931064794744,0.21841590909090908
3,5,0.25895,0.0030975385187274104,0.21813636363636363
3,6,0.24505,0.00304138535457117,0.21001818181818183
3,7,0.24865000000000004,0.0030563309498482,0.20935454545454546
3,8,0.24819999999999998,0.0030544783515356598,0.2112090909090909
3,9,0.24619999999999997,0.0030461907359848627,0.21532272727272728
3,10,0.25834999999999997,0.0030952001348862725,0.21536590909090908
3,11,0.25949999999999995,0.003099675386229984,0.209475
3,12,0.25534999999999997,0.0030833940512039653,0.20679090909090908
3,13,0.2528,0.0030732080957852495,0.20501363636363637
3,14,0.24544999999999995,0.0030430601168889185,0.20382272727272727
5,0,0.22065,0.002932265144048198,0.21258409090909092
5,1,0.20515000000000005,0.0028553763105762437,0.21421022727272726
5,2,0.20289999999999997,0.0028436911752157614,0.21755
5,3,0.20635000000000003,0.0028615527035160478,0.21847613636363636
5,4,0.2025,0.0028415994615708954,0.21421704545454545
5,5,0.20504999999999995,0.0028548598695908,0.21374545454545454
5,6,0.20209999999999995,0.0028395033896792586,0.21061363636363636
5,7,0.19765,0.0028158877596594647,0.21233863636363637
5,8,0.2037,0.002847861566158018,0.2132875
5,9,0.21245000000000003,0.00289236060597568,0.21239886363636365
5,10,0.20755,0.0028676906867721977,0.21107840909090908
5,11,0.20535000000000003,0.002856408387293386,0.20724431818181818
5,12,0.20889999999999997,0.0028745503126576164,0.20530681818181817
7,0,0.17610000000000003,0.0026934066718562943,0.2145280303030303
7,1,0.17010000000000003,0.002656746036037318,0.2155189393939394
7,2,0.16715000000000002,0.0026382842672843278,0.21503939393939395
7,3,0.16895000000000004,0.0026495839060124145,0.21543560606060605
7,4,0.16595000000000004,0.0026306899997909296,0.21321439393939393
7,5,0.16279999999999994,0.002610518722399822,0.2142712121212121
7,6,0.16845,0.0026464560973120258,0.21219772727272726
7,7,0.16790000000000005,0.0026430057699520825,0.2113840909090909
7,8,0.16705000000000003,0.002637653289384335,0.2111219696969697
7,9,0.16820000000000002,0.0026448890335891225,0.2099371212121212
7,10,0.16825,0.0026452026151128766,0.20865984848484848
9,0,0.1482,0.002512337158902045,0.21340056818181818
9,1,0.14259999999999995,0.0024725011627904237,0.21397784090909092
9,2,0.14080000000000004,0.0024594243228853374,0.21408181818181818
9,3,0.14159999999999995,0.0024652529282002686,0.21540738636363638
9,4,0.13854999999999995,0.0024428865866020057,0.21375227272727274
9,5,0.13954999999999995,0.0024502632256555618,0.2130721590909091
9,6,0.1382,0.002440294654339922,0.21084602272727274
9,7,0.13880000000000003,0.0024447347504381743,0.20979147727272726
9,8,0.14,0.0024535688292770595,0.2092971590909091
11,0,0.12450000000000006,0.0023345208287783603,0.21296227272727272
11,1,0.11809999999999998,0.002282020924531587,0.21424681818181818
11,2,0.11839999999999995,0.002284528835449445,0.21433863636363637
11,3,0.11845000000000006,0.002284946361514861,0.2142209090909091
11,4,0.11524999999999996,0.002257957456419407,0.21236
11,5,0.11380000000000001,0.002245546258708558,0.21146045454545453
11,6,0.11270000000000002,0.0022360535548148217,0.20944136363636365
13,0,0.10694999999999999,0.0021853111620545023,0.2133628787878788
13,1,0.10160000000000002,0.0021363220730966576,0.21345151515151514
13,2,0.10065000000000002,0.0021274348109871664,0.21308068181818182
13,3,0.09860000000000002,0.002108056450857045,0.21268636363636365
13,4,0.09509999999999996,0.0020743190448916,0.21093712121212121
15,0,0.08960000000000001,0.0020195524256626765,0.212424025974026
15,1,0.08620000000000005,0.00198455990083444,0.2122461038961039
15,2,0.08304999999999996,0.001951316190421224,0.21175811688311688
17,0,0.07604999999999995,0.0018743851992053281,0.21134886363636363
