d,i,P_L,err,pdet_mean
3,0,0.35475,0.003383063977373174,0.2534159090909091
3,1,0.34930000000000005,0.0033711237740551743,0.25542045454545453
3,2,0.34214999999999995,0.0033547233678799804,0.26234090909090907
3,3,0.3466,0.003365029271789474,0.2630636363636364
3,4,0.33430000000000004,0.0033357421213277266,0.26175227272727275
3,5,0.33919999999999995,0.0033477108596771015,0.2610613636363636
3,6,0.352,0.0033770993470728693,0.2556931818181818
3,7,0.3368,0.003341898861425941,0.2560090909090909
3,8,0.34209999999999996,0.0033546057145363594,0.2576045454545455
3,9,0.34125000000000005,0.0033525992714608763,0.26138181818181816
3,10,0.34904999999999997,0.003370564474238699,0.2610613636363636
3,11,0.35065,0.003374126386933364,0.2564090909090909
3,12,0.34309999999999996,0.003356950923084816,0.2534431818181818
3,13,0.33685,0.0033420209267746963,0.2514818181818182
3,14,0.33214999999999995,0.0033303631746402673,0.25175681818181816
5,0,0.32120000000000004,0.003301746204662012,0.2578784090909091
5,1,0.31255,0.0032776706477314036,0.25924204545454543
5,2,0.30445,0.0032539222294025406,0.2620465909090909
5,3,0.30820000000000003,0.0032650632459417994,0.2620625
5,4,0.30500000000000005,0.003255572146336186,0.25872272727272727
5,5,0.30295000000000005,0.0032493945397565993,0.25853522727272726
5,6,0.3093,0.0032682832649573077,0.25664886363636363
5,7,0.3032,0.0032501519964457048,0.25869545454545456
5,8,0.3043,0.0032534713000117277,0.2593329545454545
5,9,0.3184,0.00329409653774749,0.25889545454545454
5,10,0.31410000000000005,0.0032820815803389167,0.25725227272727275
5,11,0.30955,0.003269012064064616,0.25394545454545453
5,12,0.30184999999999995,0.0032460481935732257,0.2526
7,0,0.28774999999999995,0.0032011711723992516,0.259169696969697
7,1,0.2773,0.0031654755566897052,0.25984848484848483
7,2,0.27695000000000003,0.0031642431757056854,0.25992878787878787
7,3,0.27385000000000004,0.0031532219831467622,0.26004469696969695
7,4,0.27190000000000003,0.003146191268820127,0.25835
7,5,0.274,0.0031537596611029193,0.2594840909090909
7,6,0.28005,0.0031750747825838688,0.25811969696969694
7,7,0.28374999999999995,0.003187757342552911,0.25793333333333335
7,8,0.27590000000000003,0.0031605315217538964,0.25736969696969697
7,9,0.27515,0.003157866981840749,0.25642424242424244
7,10,0.27680000000000005,0.0031637142728128914,0.25542045454545453
9,0,0.26639999999999997,0.003125948176153917,0.2583005681818182
9,1,0.25295,0.0030738111319663086,0.25888863636363635
9,2,0.25255000000000005,0.0030722019586934715,0.25934772727272726
9,3,0.24975000000000003,0.0030608408771120397,0.2603789772727273
9,4,0.24655000000000005,0.003047647432857023,0.2590278409090909
9,5,0.25780000000000003,0.0030930499511000464,0.25871534090909093
9,6,0.25970000000000004,0.0031004508543113533,0.25695056818181816
9,7,0.25034999999999996,0.003063289714506285,0.25632045454545455
9,8,0.24960000000000004,0.003060227442527761,0.25596647727272726
11,0,0.24560000000000004,0.003043687237545934,0.25816136363636366
11,1,0.23250000000000004,0.0029870030967509894,0.25938727272727274
11,2,0.22945000000000004,0.002973236431062959,0.25969045454545453
11,3,0.24004999999999999,0.0030201489822523657,0.259585
11,4,0.23319999999999996,0.002990131769671698,0.2579109090909091
11,5,0.23099999999999998,0.002980260055766946,0.25726863636363634
11,6,0.23104999999999998,0.0029804856777042223,0.2559118181818182
13,0,0.2217,0.0029372530534497706,0.258644696969697
13,1,0.22140000000000004,0.002935830717190622,0.2588909090909091
13,2,0.21589999999999998,0.0029093572314172764,0.2586492424242424
13,3,0.21304999999999996,0.0028953384733049776,0.25823446969696967
13,4,0.21404999999999996,0.002900280999317135,0.2568852272727273
15,0,0.20904999999999996,0.0028753095268162,0.25790162337662337
15,1,0.2015,0.0028363510889873986,0.2578324675324675
15,2,0.19725000000000004,0.0028137380608365095,0.2576646103896104
17,0,0.18855,0.002765853371927008,0.25713352272727275
