d,i,P_L,err,pdet_mean
3,0,0.41145,0.0034796472342753368,0.29605
3,1,0.41035,0.0034782386167426754,0.30022272727272725
3,2,0.4142,0.003483090294551664,0.30427272727272725
3,3,0.41169999999999995,0.003479964870512345,0.3049136363636364
3,4,0.3984,0.0034617729561598923,0.30508863636363637
3,5,0.40195000000000003,0.0034668876351851958,0.3034227272727273
3,6,0.40885000000000005,0.003476288807766121,0.29665
3,7,0.39675000000000005,0.0034593311311581607,0.2972681818181818
3,8,0.40880000000000005,0.003476223237940855,0.29956818181818184
3,9,0.40754999999999997,0.0034745718980904684,0.3003909090909091
3,10,0.41374999999999995,0.0034825345475673316,0.29912727272727274
3,11,0.4174,0.0034869559790740115,0.29559772727272726
3,12,0.41725,0.003486778151101673,0.29766590909090906
3,13,0.41390000000000005,0.0034827201294390566,0.29845
3,14,0.41655,0.003485943900151005,0.2938
5,0,0.3943,0.0034556295374359794,0.30016136363636364
5,1,0.3789,0.0034302681382072744,0.3025681818181818
5,2,0.38595,0.003442329135193205,0.3046806818181818
5,3,0.3853,0.0034412491191426406,0.30416818181818184
5,4,0.3749,0.0034230833323189783,0.30086931818181817
5,5,0.3771,0.0034270657274117168,0.3003454545454545
5,6,0.37729999999999997,0.0034274240327102803,0.29810909090909093
5,7,0.36419999999999997,0.0034026339797280573,0.29882954545454543
5,8,0.38015,0.0034324625088994055,0.2993477272727273
5,9,0.38865000000000005,0.003446746128597231,0.2979943181818182
5,10,0.38965000000000005,0.0034483537920288864,0.29839659090909093
5,11,0.39054999999999995,0.003449787656508731,0.2970238636363636
5,12,0.39425,0.0034555530490791193,0.29573295454545456
7,0,0.36365000000000003,0.003401534047308655,0.30180378787878787
7,1,0.36639999999999995,0.0034069857645725493,0.3028530303030303
7,2,0.36639999999999995,0.0034069857645725493,0.3020037878787879
7,3,0.36324999999999996,0.003400731079488644,0.3018681818181818
7,4,0.35395,0.003381341431296165,0.30043560606060604
7,5,0.34840000000000004,0.003369105519273625,0.30036060606060605
7,6,0.35605,0.0033858410882674334,0.29844848484848485
7,7,0.35614999999999997,0.003386053584189122,0.2977522727272727
7,8,0.36875,0.003411549776128146,0.2987871212121212
7,9,0.36995,0.003413846785519233,0.2981462121212121
7,10,0.37295,0.003419490440840565,0.29686439393939396
9,0,0.35650000000000004,0.0033867960523184743,0.30051534090909093
9,1,0.34304999999999997,0.0033568340553265363,0.3014568181818182
9,2,0.34795,0.0033680914291331224,0.30139488636363637
9,3,0.34404999999999997,0.003359163567765047,0.30149886363636363
9,4,0.33819999999999995,0.0033453008833287325,0.30010852272727273
9,5,0.34414999999999996,0.0033593956115646755,0.29916988636363634
9,6,0.3489,0.0033702284047227426,0.29825284090909093
9,7,0.3478,0.0033677526631271486,0.29792670454545456
9,8,0.35350000000000004,0.0033803679533447244,0.29754034090909093
11,0,0.3355,0.003338710454651616,0.3003259090909091
11,1,0.33375,0.003334373535613549,0.3012436363636364
11,2,0.33425000000000005,0.0033356179150196446,0.30094136363636365
11,3,0.3357,0.0033392028240285137,0.30031863636363637
11,4,0.33399999999999996,0.0033349962518719567,0.29962
11,5,0.3308,0.0033269457464767892,0.2990259090909091
11,6,0.33945000000000003,0.003348310749467558,0.2973622727272727
13,0,0.32465,0.003310984577886161,0.3001261363636364
13,1,0.32194999999999996,0.0033037720676523676,0.3003026515151515
13,2,0.32599999999999996,0.003314543709170238,0.3003954545454545
13,3,0.32425000000000004,0.003309923998372168,0.30000719696969697
13,4,0.32320000000000004,0.0033071268496989953,0.29865
15,0,0.31465,0.003283636532108875,0.29977467532467533
15,1,0.31384999999999996,0.00328137301674162,0.300037987012987
15,2,0.3146,0.0032834953936316095,0.29945324675324675
17,0,0.30994999999999995,0.003270175817138889,0.2990278409090909
