d,i,P_L,err,pdet_mean
3,0,0.48395,0.003533711911715498,0.3689977272727273
3,1,0.48129999999999995,0.003533060358952278,0.36978636363636364
3,2,0.47455,0.0035309509873403793,0.3733818181818182
3,3,0.4747,0.003531004885298235,0.37354545454545457
3,4,0.48095,0.003532966865822548,0.37484772727272725
3,5,0.48575,0.003534097745535627,0.37588636363636363
3,6,0.48585,0.003534117835471817,0.37192954545454543
3,7,0.47614999999999996,0.0035315094329479,0.3705159090909091
3,8,0.47150000000000003,0.0035297857583711794,0.37169090909090907
3,9,0.4757,0.003531356042655569,0.37357045454545457
3,10,0.4789,0.0035323843930127425,0.3725386363636364
3,11,0.48519999999999996,0.0035339847198311426,0.3703727272727273
3,12,0.48024999999999995,0.0035327746708500953,0.3735681818181818
3,13,0.4821,0.0035332675386955913,0.3724340909090909
3,14,0.4919,0.003535069942730978,0.3673727272727273
5,0,0.46675,0.0035277077366187804,0.3711897727272727
5,1,0.48585,0.003534117835471817,0.3716659090909091
5,2,0.47030000000000005,0.0035292910761227955,0.3741147727272727
5,3,0.47824999999999995,0.003532187264996011,0.37471590909090907
5,4,0.47235000000000005,0.003530123776158564,0.37338863636363634
5,5,0.4679,0.0035282402837675327,0.3732011363636364
5,6,0.47609999999999997,0.003531492531494297,0.3718102272727273
5,7,0.4697,0.0035290360581892613,0.3720431818181818
5,8,0.46230000000000004,0.0035254695431956294,0.3721147727272727
5,9,0.48134999999999994,0.0035330735733918703,0.37197159090909093
5,10,0.47230000000000005,0.0035301041769330264,0.3730534090909091
5,11,0.4769,0.003531758697872775,0.3714034090909091
5,12,0.48050000000000004,0.003532844109212859,0.3704704545454545
7,0,0.47009999999999996,0.0035292066388920894,0.3724090909090909
7,1,0.4769,0.003531758697872775,0.3730727272727273
7,2,0.46840000000000004,0.003528465955624342,0.3733863636363636
7,3,0.47330000000000005,0.00353048941366491,0.3733159090909091
7,4,0.46809999999999996,0.0035283309793725415,0.37282272727272725
7,5,0.46475,0.0035267367175620015,0.37332424242424245
7,6,0.4619,0.00352525452981767,0.37205303030303033
7,7,0.48095,0.003532966865822548,0.3714863636363636
7,8,0.45894999999999997,0.003523598285134104,0.3725992424242424
7,9,0.46845000000000003,0.0035284883271735506,0.37212575757575755
7,10,0.48105,0.0035329937553015855,0.3711598484848485
9,0,0.4707,0.003529458244546888,0.37228920454545456
9,1,0.47224999999999995,0.0035300845421887563,0.3724335227272727
9,2,0.45914999999999995,0.003523714499643806,0.3729625
9,3,0.4625,0.0035255761940426135,0.37337954545454544
9,4,0.45975,0.003524059715016191,0.37275170454545453
9,5,0.46945000000000003,0.003528928289863652,0.37258636363636366
9,6,0.46125000000000005,0.003524900264546502,0.3724318181818182
9,7,0.4655,0.0035271075260048424,0.37172329545454547
9,8,0.46525000000000005,0.003526984813548252,0.3712926136363636
11,0,0.469,0.003528732066904485,0.37216954545454545
11,1,0.47130000000000005,0.003529704732693657,0.3726609090909091
11,2,0.45630000000000004,0.003522004471888132,0.3728777272727273
11,3,0.46519999999999995,0.0035269601642207416,0.37277818181818184
11,4,0.46020000000000005,0.0035243152526412843,0.372915
11,5,0.45975,0.003524059715016191,0.3725559090909091
11,6,0.4638,0.0035262555210874894,0.37142
13,0,0.46040000000000003,0.0035244278968365917,0.3722310606060606
13,1,0.47130000000000005,0.003529704732693657,0.37227954545454545
13,2,0.45714999999999995,0.0035225266322627003,0.372992803030303
13,3,0.45625000000000004,0.0035219734347379738,0.37272083333333333
13,4,0.45804999999999996,0.0035230682472810544,0.3719912878787879
15,0,0.46040000000000003,0.0035244278968365917,0.37242207792207793
15,1,0.46399999999999997,0.0035263578944854704,0.37230162337662337
15,2,0.46004999999999996,0.003524230394710312,0.3721899350649351
17,0,0.46314999999999995,0.00352591886959981,0.3717909090909091
