d,i,P_L,err,pdet_mean
3,0,0.49550000000000005,0.00353539071390985,0.4031772727272727
3,1,0.49124999999999996,0.0035349924858477425,0.40688636363636366
3,2,0.4958,0.0035354091700961574,0.40840454545454546
3,3,0.48939999999999995,0.003534739311462728,0.40652727272727274
3,4,0.48885,0.003534654703786496,0.4056977272727273
3,5,0.4939,0.003535270781708241,0.40615
3,6,0.48850000000000005,0.0035345986335084782,0.4022090909090909
3,7,0.4909,0.0035349483023093846,0.4015909090909091
3,8,0.48775,0.0035344726445397765,0.4031568181818182
3,9,0.48924999999999996,0.0035347166612049686,0.40391818181818184
3,10,0.49215,0.0035350981422019954,0.40214545454545453
3,11,0.49234999999999995,0.003535120065146303,0.40080454545454547
3,12,0.48660000000000003,0.00353426399693062,0.401525
3,13,0.4981,0.003535508379285785,0.40047272727272726
3,14,0.496,0.0035354207670374965,0.399675
5,0,0.48695,0.00353432948025506,0.4057909090909091
5,1,0.49385,0.003535266450354202,0.4067068181818182
5,2,0.48540000000000005,0.0035340263156914947,0.4070511363636364
5,3,0.48665,0.0035342734578693823,0.4063386363636364
5,4,0.48134999999999994,0.0035330735733918703,0.4039534090909091
5,5,0.4859,0.003534127827342978,0.40387045454545456
5,6,0.48375,0.0035336662087695836,0.40268295454545455
5,7,0.48860000000000003,0.0035346148305013376,0.4027545454545455
5,8,0.4891,0.003534693692528392,0.40265113636363636
5,9,0.49360000000000004,0.0035352442631309084,0.40236136363636366
5,10,0.49075,0.0035349288359173515,0.40183522727272725
5,11,0.49155000000000004,0.0035350289779576063,0.4006386363636364
5,12,0.49544999999999995,0.0035353875141206233,0.4006
7,0,0.49660000000000004,0.0035354521634438783,0.4057598484848485
7,1,0.48929999999999996,0.0035347242466704527,0.4065212121212121
7,2,0.4858,0.0035341078082028,0.4054371212121212
7,3,0.48545000000000005,0.0035340366261542907,0.4047560606060606
7,4,0.48045000000000004,0.0035328302924142845,0.40368787878787876
7,5,0.49129999999999996,0.0035349986562939455,0.40388636363636365
7,6,0.48850000000000005,0.0035345986335084782,0.4025037878787879
7,7,0.48939999999999995,0.003534739311462728,0.40210454545454544
7,8,0.49245000000000005,0.0035351308144112572,0.40227575757575756
7,9,0.48124999999999996,0.003533047109083036,0.4017318181818182
7,10,0.48915,0.0035347013841341675,0.40111515151515154
9,0,0.48945000000000005,0.003534746790789971,0.40487215909090907
9,1,0.48845000000000005,0.0035345904819370517,0.4052886363636364
9,2,0.48460000000000003,0.0035338565335904628,0.40486704545454544
9,3,0.48565,0.0035340775140056,0.4045465909090909
9,4,0.48685,0.0035343109476954626,0.4033022727272727
9,5,0.48850000000000005,0.0035345986335084782,0.4031159090909091
9,6,0.48985,0.0035348053517838857,0.4022590909090909
9,7,0.48934999999999995,0.003534731796756297,0.40169659090909093
9,8,0.48619999999999997,0.0035341870352317236,0.40162556818181816
11,0,0.48760000000000003,0.0035344464913193976,0.4045290909090909
11,1,0.48345000000000005,0.003533596592000847,0.40501454545454546
11,2,0.48755000000000004,0.0035344377028036582,0.4043227272727273
11,3,0.4857,0.0035340876474699943,0.40379818181818183
11,4,0.48634999999999995,0.0035342161613291286,0.40294681818181816
11,5,0.48465,0.0035338674105008525,0.40258727272727274
11,6,0.48385,0.0035336891310640216,0.40174227272727275
13,0,0.487,0.0035343386934474745,0.4041318181818182
13,1,0.4848,0.0035338998288010374,0.4043128787878788
13,2,0.4851,0.0035339637094910863,0.4038564393939394
13,3,0.48465,0.0035338674105008525,0.4032439393939394
13,4,0.486,0.003534147704892935,0.4024015151515152
15,0,0.4878,0.0035344812915051624,0.4037594155844156
15,1,0.48395,0.003533711911715498,0.4037642857142857
15,2,0.49234999999999995,0.003535120065146303,0.4032590909090909
17,0,0.4919,0.003535069942730978,0.40324886363636364
