d,i,P_L,err,pdet_mean
3,0,0.49975,0.0035355334639909715,0.4335772727272727
3,1,0.49685,0.0035354637425661713,0.43582954545454544
3,2,0.49705,0.0035354723694295785,0.43566136363636365
3,3,0.4979,0.003535502722386167,0.4328772727272727
3,4,0.49524999999999997,0.003535374361365427,0.43220681818181816
3,5,0.50785,0.0035350981422019954,0.43267954545454546
3,6,0.497,0.003535470265749664,0.4294568181818182
3,7,0.49770000000000003,0.0035354964997861334,0.4284454545454545
3,8,0.5018,0.0035355109955987974,0.4300181818181818
3,9,0.49970000000000003,0.003535533269536577,0.43067727272727274
3,10,0.50095,0.003535527524288278,0.43009545454545456
3,11,0.49615,0.0035354290934764905,0.4289909090909091
3,12,0.49695,0.0035354681267125007,0.42973636363636364
3,13,0.49775,0.0035354981084707144,0.4309681818181818
3,14,0.49534999999999996,0.0035353810084628786,0.4308090909090909
5,0,0.49844999999999995,0.003535516917651505,0.4346193181818182
5,1,0.4937,0.0035352532441113747,0.4343534090909091
5,2,0.49755000000000005,0.003535491461593423,0.4339340909090909
5,3,0.49975,0.0035355334639909715,0.4327784090909091
5,4,0.502,0.0035355056215483523,0.4308318181818182
5,5,0.50305,0.0035354681267125007,0.4305625
5,6,0.49360000000000004,0.0035352442631309084,0.4297375
5,7,0.49234999999999995,0.003535120065146303,0.42956136363636366
5,8,0.49750000000000005,0.0035354897114826963,0.4300568181818182
5,9,0.49670000000000003,0.0035354569011656753,0.4298340909090909
5,10,0.49695,0.0035354681267125007,0.4299159090909091
5,11,0.49805,0.0035355070180951415,0.4299795454545455
5,12,0.5015499999999999,0.003535516917651505,0.43027272727272725
7,0,0.49245000000000005,0.0035351308144112572,0.43381515151515154
7,1,0.5019,0.003535508379285785,0.43379545454545454
7,2,0.49624999999999997,0.0035354344676432627,0.43244166666666667
7,3,0.5023500000000001,0.003535494855745091,0.4313340909090909
7,4,0.50205,0.003535504189645375,0.4305606060606061
7,5,0.49805,0.0035355070180951415,0.43060075757575755
7,6,0.491,0.0035349611030391836,0.4298568181818182
7,7,0.49950000000000006,0.0035355321381653425,0.4293712121212121
7,8,0.49165000000000003,0.003535040859028365,0.42995
7,9,0.5018,0.0035355109955987974,0.4302121212121212
7,10,0.49739999999999995,0.0035354861051911943,0.43021363636363635
9,0,0.49639999999999995,0.0035354422637061973,0.4327255681818182
9,1,0.49944999999999995,0.0035355317669340776,0.43245795454545455
9,2,0.50455,0.0035353875141206233,0.4318357954545455
9,3,0.5023500000000001,0.003535494855745091,0.43116988636363635
9,4,0.50415,0.0035354121223698945,0.43044431818181816
9,5,0.50385,0.0035354290934764905,0.43019829545454547
9,6,0.49724999999999997,0.003535480430578,0.4298267045454545
9,7,0.49265000000000003,0.0035351518885332212,0.42977045454545454
9,8,0.4942,0.003535296027209037,0.4301647727272727
11,0,0.5025,0.003535489711482696,0.43218409090909093
11,1,0.49460000000000004,0.0035353277075824245,0.4321018181818182
11,2,0.5001,0.003535533835222059,0.4314877272727273
11,3,0.5006999999999999,0.003535530441107812,0.4307340909090909
11,4,0.5019,0.003535508379285785,0.4303027272727273
11,5,0.4889,0.0035346625722973896,0.4303522727272727
11,6,0.4898,0.003534798155482149,0.43002318181818183
13,0,0.49660000000000004,0.0035354521634438783,0.43183598484848484
13,1,0.49315,0.003535202098183356,0.4315833333333333
13,2,0.5015000000000001,0.0035355179959943635,0.43119583333333333
13,3,0.50085,0.0035355287970825523,0.43077310606060604
13,4,0.50105,0.00353552611007188,0.4303871212121212
15,0,0.49695,0.0035354681267125007,0.431536038961039
15,1,0.4968,0.0035354614974568736,0.43149545454545457
15,2,0.49305,0.0035351923391804298,0.4311405844155844
17,0,0.49770000000000003,0.0035354964997861334,0.43144517045454545
