d,i,P_L,err,pdet_mean
3,0,0.49939999999999996,0.0035355313603474088,0.4555886363636364
3,1,0.49815,0.003535509705120324,0.45519545454545457
3,2,0.49705,0.0035354723694295785,0.45702272727272725
3,3,0.50585,0.0035352919080324893,0.4561840909090909
3,4,0.49395,0.0035352750776990465,0.4562659090909091
3,5,0.50265,0.003535484249010311,0.45795681818181816
3,6,0.49224999999999997,0.003535109174410318,0.45500454545454544
3,7,0.49655000000000005,0.0035354497415463282,0.45436136363636365
3,8,0.50135,0.003535521018888164,0.4550068181818182
3,9,0.49324999999999997,0.0035352117157250993,0.4556909090909091
3,10,0.495,0.0035353571248178026,0.4550159090909091
3,11,0.4927,0.003535157068646314,0.45343181818181816
3,12,0.49760000000000004,0.0035354931763475375,0.4540318181818182
3,13,0.4959,0.003535415039284638,0.45495681818181816
3,14,0.4972,0.0035354784683264582,0.45535
5,0,0.49405,0.0035352835635914692,0.4563056818181818
5,1,0.5012,0.003535523723580426,0.45568977272727273
5,2,0.49439999999999995,0.0035353121502916824,0.45664431818181817
5,3,0.5022,0.0035354996817988826,0.45707045454545453
5,4,0.50075,0.0035355299284548563,0.45563522727272726
5,5,0.49885,0.003535524554433189,0.4561590909090909
5,6,0.49650000000000005,0.0035354472842909143,0.4550056818181818
5,7,0.50255,0.0035354879260153047,0.45502613636363637
5,8,0.50135,0.003535521018888164,0.45501136363636363
5,9,0.49585,0.0035354121223698945,0.4545613636363636
5,10,0.49729999999999996,0.0035354823574725983,0.45452386363636366
5,11,0.5023,0.003535496499786133,0.45419431818181816
5,12,0.5028,0.0035354784683264582,0.4546909090909091
7,0,0.505,0.0035353571248178026,0.4562924242424242
7,1,0.5,0.0035355339059327377,0.45644545454545454
7,2,0.49715,0.0035354764707179144,0.4560977272727273
7,3,0.50085,0.0035355287970825523,0.45616742424242424
7,4,0.49760000000000004,0.0035354931763475375,0.4554257575757576
7,5,0.5013000000000001,0.00353552195580794,0.4560030303030303
7,6,0.49539999999999995,0.003535384278971665,0.4550090909090909
7,7,0.4981,0.003535508379285785,0.45449469696969697
7,8,0.49644999999999995,0.003535444791677562,0.45468484848484847
7,9,0.49965000000000004,0.0035355330397268247,0.4546931818181818
7,10,0.49585,0.0035354121223698945,0.4547992424242424
9,0,0.50395,0.0035354235778757826,0.45597045454545454
9,1,0.49529999999999996,0.0035353777025941653,0.4559244318181818
9,2,0.5001,0.003535533835222059,0.455825
9,3,0.5046999999999999,0.0035353777025941653,0.45604829545454545
9,4,0.49855000000000005,0.0035355190389814053,0.4553232954545455
9,5,0.497,0.003535470265749664,0.4553602272727273
9,6,0.48815,0.003534540829443055,0.4547647727272727
9,7,0.50075,0.0035355299284548563,0.45461022727272726
9,8,0.5004500000000001,0.003535532474041216,0.4548511363636364
11,0,0.49850000000000005,0.0035355179959943635,0.45577772727272725
11,1,0.4951,0.003535364125518049,0.4558777272727273
11,2,0.49929999999999997,0.003535530441107812,0.45566318181818183
11,3,0.4998,0.003535533623090014,0.455525
11,4,0.49319999999999997,0.0035352069246368024,0.455065
11,5,0.50345,0.0035354497415463282,0.45527954545454546
11,6,0.49824999999999997,0.0035355122507212443,0.45488181818181816
13,0,0.5041,0.003535415039284638,0.45565075757575757
13,1,0.49515,0.0035353675728274706,0.45547007575757575
13,2,0.5001,0.003535533835222059,0.45539128787878785
13,3,0.49905,0.003535527524288278,0.455430303030303
13,4,0.49250000000000005,0.0035351361359925023,0.4551125
15,0,0.49934999999999996,0.0035355309184053247,0.4554194805194805
15,1,0.5055499999999999,0.0035353160926570623,0.45539675324675327
15,2,0.4972,0.0035354784683264582,0.4553853896103896
17,0,0.5009,0.0035355281783631706,0.45541079545454544
