d,i,P_L,err,pdet_mean
3,0,0.4981,0.003535508379285785,0.4752727272727273
3,1,0.5014000000000001,0.003535520046612662,0.4752454545454545
3,2,0.49660000000000004,0.0035354521634438783,0.47495
3,3,0.5017499999999999,0.0035355122507212443,0.4748659090909091
3,4,0.49644999999999995,0.003535444791677562,0.47445
3,5,0.5014000000000001,0.003535520046612662,0.47412272727272725
3,6,0.49850000000000005,0.0035355179959943635,0.47301363636363636
3,7,0.50705,0.0035351824387151506,0.47312272727272725
3,8,0.49995,0.003535533888255068,0.4739590909090909
3,9,0.49470000000000003,0.0035353352740581765,0.47444772727272727
3,10,0.4939,0.003535270781708241,0.47397045454545456
3,11,0.50075,0.0035355299284548563,0.47357272727272726
3,12,0.4937,0.0035352532441113747,0.4758181818181818
3,13,0.5017499999999999,0.0035355122507212443,0.4770090909090909
3,14,0.5005,0.0035355321381653425,0.47544772727272727
5,0,0.49844999999999995,0.003535516917651505,0.47511136363636364
5,1,0.5023500000000001,0.003535494855745091,0.4750556818181818
5,2,0.494,0.0035352793383267465,0.4747
5,3,0.4961,0.0035354263533554195,0.4744943181818182
5,4,0.501,0.003535526834857855,0.4737318181818182
5,5,0.5002,0.003535533623090014,0.47362272727272725
5,6,0.49524999999999997,0.003535374361365427,0.47348636363636365
5,7,0.49495,0.0035353535714267676,0.47378522727272726
5,8,0.5011,0.0035355253499303324,0.4739647727272727
5,9,0.49570000000000003,0.0035354031594713497,0.4740102272727273
5,10,0.5089,0.0035349737622788657,0.4748943181818182
5,11,0.5024500000000001,0.0035354914615934236,0.4752909090909091
5,12,0.503,0.003535470265749664,0.47563295454545457
7,0,0.49865000000000004,0.003535521018888164,0.4748909090909091
7,1,0.49765000000000004,0.003535494855745091,0.47474469696969696
7,2,0.496,0.0035354207670374965,0.4741378787878788
7,3,0.49955000000000005,0.0035355324740412157,0.4740371212121212
7,4,0.5036499999999999,0.0035354397003767436,0.47380757575757576
7,5,0.4941,0.0035352877534933417,0.4738977272727273
7,6,0.49575,0.0035354061824633388,0.47364772727272725
7,7,0.49815,0.003535509705120324,0.47371439393939396
7,8,0.5041,0.003535415039284638,0.47458257575757573
7,9,0.5045,0.00353539071390985,0.4750098484848485
7,10,0.50415,0.0035354121223698945,0.4750787878787879
9,0,0.49850000000000005,0.0035355179959943635,0.4744215909090909
9,1,0.50075,0.0035355299284548563,0.47433920454545453
9,2,0.5038,0.003535431798239078,0.47409318181818183
9,3,0.493,0.0035351874066306584,0.4741397727272727
9,4,0.49955000000000005,0.0035355324740412157,0.47384829545454543
9,5,0.49970000000000003,0.003535533269536577,0.4738164772727273
9,6,0.49670000000000003,0.0035354569011656753,0.4741903409090909
9,7,0.49644999999999995,0.003535444791677562,0.4745380681818182
9,8,0.5055000000000001,0.0035353199996605686,0.47479886363636364
11,0,0.49895,0.00353552611007188,0.4743290909090909
11,1,0.49955000000000005,0.0035355324740412157,0.4743609090909091
11,2,0.49329999999999996,0.0035352164714483893,0.4740686363636364
11,3,0.49245000000000005,0.0035351308144112572,0.47402636363636363
11,4,0.49970000000000003,0.003535533269536577,0.4742422727272727
11,5,0.49829999999999997,0.0035355134704877027,0.474455
11,6,0.49860000000000004,0.003535520046612662,0.4744418181818182
13,0,0.49865000000000004,0.003535521018888164,0.47426931818181817
13,1,0.49629999999999996,0.003535437101689125,0.47422954545454543
13,2,0.49870000000000003,0.0035355219558079395,0.47436022727272725
13,3,0.4937,0.0035352532441113747,0.47452348484848483
13,4,0.50065,0.0035355309184053247,0.4744431818181818
15,0,0.50185,0.003535509705120324,0.4744905844155844
15,1,0.49770000000000003,0.0035354964997861334,0.47462662337662337
15,2,0.5036,0.0035354422637061973,0.4745155844155844
17,0,0.5028,0.0035354784683264582,0.4746102272727273
