d,i,P_L,err,pdet_mean
3,0,0.49775,0.0035354981084707144,0.48904545454545456
3,1,0.49775,0.0035354981084707144,0.48811136363636365
3,2,0.49565000000000003,0.003535400101120098,0.4887159090909091
3,3,0.5045999999999999,0.003535384278971665,0.4894386363636364
3,4,0.49665000000000004,0.0035354545499836367,0.48907727272727275
3,5,0.5051,0.0035353499826749827,0.48931363636363634
3,6,0.4981,0.003535508379285785,0.4889090909090909
3,7,0.5003500000000001,0.0035355330397268247,0.487825
3,8,0.4998,0.003535533623090014,0.48807045454545456
3,9,0.49429999999999996,0.0035353041594748252,0.4900159090909091
3,10,0.50215,0.003535501219770685,0.49005
3,11,0.49795,0.003535504189645375,0.48863181818181817
3,12,0.49634999999999996,0.003535439700376744,0.4889818181818182
3,13,0.49529999999999996,0.0035353777025941653,0.49003636363636366
3,14,0.49934999999999996,0.0035355309184053247,0.4898340909090909
5,0,0.49550000000000005,0.00353539071390985,0.48888068181818184
5,1,0.49560000000000004,0.003535397007409493,0.488775
5,2,0.49634999999999996,0.003535439700376744,0.48889659090909093
5,3,0.49460000000000004,0.0035353277075824245,0.48937613636363636
5,4,0.49770000000000003,0.0035354964997861334,0.4889931818181818
5,5,0.50085,0.0035355287970825523,0.4885693181818182
5,6,0.5003,0.003535533269536577,0.48848977272727273
5,7,0.50145,0.0035355190389814053,0.4889204545454545
5,8,0.50305,0.0035354681267125007,0.4890602272727273
5,9,0.49019999999999997,0.0035348547353462774,0.48932386363636365
5,10,0.49850000000000005,0.0035355179959943635,0.4895159090909091
5,11,0.5004500000000001,0.003535532474041216,0.4893340909090909
5,12,0.49660000000000004,0.0035354521634438783,0.48940795454545455
7,0,0.49739999999999995,0.0035354861051911943,0.48894621212121214
7,1,0.4958,0.0035354091700961574,0.4889545454545455
7,2,0.5,0.0035355339059327377,0.48890075757575757
7,3,0.49875,0.003535522857372018,0.4888590909090909
7,4,0.5059,0.0035352877534933417,0.48868560606060607
7,5,0.5021,0.003535502722386167,0.4890515151515151
7,6,0.5077499999999999,0.003535109174410318,0.48900984848484846
7,7,0.4919,0.003535069942730978,0.48882424242424244
7,8,0.50145,0.0035355190389814053,0.4890340909090909
7,9,0.5004,0.0035355327745617065,0.48956136363636366
7,10,0.5033000000000001,0.0035354569011656757,0.4896219696969697
9,0,0.50065,0.0035355309184053247,0.4889369318181818
9,1,0.50125,0.003535522857372018,0.4886721590909091
9,2,0.5015499999999999,0.003535516917651505,0.48869318181818183
9,3,0.502,0.0035355056215483523,0.48914829545454547
9,4,0.50495,0.003535360642848195,0.48902670454545455
9,5,0.49634999999999996,0.003535439700376744,0.48894659090909093
9,6,0.49534999999999996,0.0035353810084628786,0.4890028409090909
9,7,0.4942,0.003535296027209037,0.48912727272727274
9,8,0.50215,0.003535501219770685,0.4892340909090909
11,0,0.5008,0.0035355293804464416,0.48876363636363634
11,1,0.5,0.0035355339059327377,0.4889409090909091
11,2,0.5021,0.003535502722386167,0.48896454545454543
11,3,0.49334999999999996,0.0035352211918068155,0.489045
11,4,0.50025,0.0035355334639909715,0.4890177272727273
11,5,0.49929999999999997,0.003535530441107812,0.48916454545454546
11,6,0.5009,0.0035355281783631706,0.4891690909090909
13,0,0.50405,0.0035354179208404767,0.4889780303030303
13,1,0.497,0.003535470265749664,0.48888939393939396
13,2,0.4979,0.003535502722386167,0.48896742424242423
13,3,0.49134999999999995,0.0035350047913687475,0.4892102272727273
13,4,0.5029,0.003535474437752308,0.4891537878787879
15,0,0.5012,0.003535523723580426,0.48897857142857143
15,1,0.49939999999999996,0.0035355313603474088,0.48905324675324674
15,2,0.5016,0.003535515803952798,0.48909123376623376
17,0,0.49765000000000004,0.003535494855745091,0.48908551136363637
