d,i,P_L,err,pdet_mean
3,0,0.49475,0.0035353390042540474,0.49926363636363635
3,1,0.4968,0.0035354614974568736,0.49818636363636365
3,2,0.48714999999999997,0.0035343661206785016,0.4991659090909091
3,3,0.49005,0.003534833783220931,0.5002
3,4,0.4941,0.0035352877534933417,0.49937954545454544
3,5,0.4837,0.0035336546945053927,0.4983568181818182
3,6,0.494,0.0035352793383267465,0.49805
3,7,0.4931,0.0035351972363646136,0.49866818181818184
3,8,0.49360000000000004,0.0035352442631309084,0.4978318181818182
3,9,0.49850000000000005,0.0035355179959943635,0.4984863636363636
3,10,0.498,0.0035355056215483523,0.49860454545454547
3,11,0.5012,0.003535523723580426,0.4985931818181818
3,12,0.5063500000000001,0.003535248771303089,0.4990090909090909
3,13,0.49550000000000005,0.00353539071390985,0.49924318181818184
3,14,0.49665000000000004,0.0035354545499836367,0.49866136363636365
5,0,0.5048,0.0035353709847765623,0.4992147727272727
5,1,0.48495,0.0035339319284615543,0.49919318181818184
5,2,0.48795,0.0035345070200807354,0.49927272727272726
5,3,0.4949,0.0035353499826749827,0.4992784090909091
5,4,0.5005999999999999,0.0035355313603474088,0.4987147727272727
5,5,0.4808,0.003532926265859507,0.4985125
5,6,0.4952,0.0035353709847765623,0.4979409090909091
5,7,0.49844999999999995,0.003535516917651505,0.4985772727272727
5,8,0.49824999999999997,0.0035355122507212443,0.49821818181818184
5,9,0.50205,0.003535504189645375,0.49853977272727273
5,10,0.50145,0.0035355190389814053,0.49880681818181816
5,11,0.49744999999999995,0.0035354879260153047,0.4989181818181818
5,12,0.5015499999999999,0.003535516917651505,0.4988352272727273
7,0,0.49955000000000005,0.0035355324740412157,0.499269696969697
7,1,0.49570000000000003,0.0035354031594713497,0.49891439393939396
7,2,0.4951,0.003535364125518049,0.49886515151515154
7,3,0.49915,0.0035355287970825523,0.499075
7,4,0.50025,0.0035355334639909715,0.4984204545454545
7,5,0.48405,0.003533734550726752,0.49850378787878785
7,6,0.49544999999999995,0.0035353875141206233,0.4981621212121212
7,7,0.4998,0.003535533623090014,0.49858257575757575
7,8,0.5003500000000001,0.0035355330397268247,0.4984818181818182
7,9,0.4982,0.0035355109955987974,0.4987742424242424
7,10,0.49844999999999995,0.003535516917651505,0.49875833333333336
9,0,0.50345,0.0035354497415463282,0.49896477272727274
9,1,0.49439999999999995,0.0035353121502916824,0.49885284090909093
9,2,0.49570000000000003,0.0035354031594713497,0.4986068181818182
9,3,0.50095,0.003535527524288278,0.4989278409090909
9,4,0.49439999999999995,0.0035353121502916824,0.49846647727272725
9,5,0.4857,0.0035340876474699943,0.49852613636363635
9,6,0.49315,0.003535202098183356,0.49837386363636366
9,7,0.4978,0.0035354996817988826,0.49874772727272726
9,8,0.50015,0.003535533746833708,0.49852670454545456
11,0,0.5054000000000001,0.0035353277075824245,0.4987381818181818
11,1,0.50295,0.0035354723694295785,0.49877954545454545
11,2,0.4928,0.0035351673227727145,0.4986063636363636
11,3,0.4991,0.0035355281783631706,0.4988609090909091
11,4,0.4989,0.0035355253499303324,0.498575
11,5,0.48414999999999997,0.0035337570481005056,0.49866954545454545
11,6,0.50225,0.0035354981084707144,0.49843136363636364
13,0,0.50135,0.003535521018888164,0.49871590909090907
13,1,0.5022,0.0035354996817988826,0.49874848484848483
13,2,0.49460000000000004,0.0035353277075824245,0.49867348484848484
13,3,0.497,0.003535470265749664,0.4989246212121212
13,4,0.50005,0.003535533888255068,0.49858939393939394
15,0,0.5057,0.0035353041594748252,0.4987577922077922
15,1,0.49939999999999996,0.0035355313603474088,0.49881915584415587
15,2,0.5009,0.0035355281783631706,0.4986717532467532
17,0,0.5036499999999999,0.0035354397003767436,0.4987457386363636
