d,i,P_L,err,pdet_mean
3,0,0.006950000000000012,0.0005874392521784704,0.036475
3,1,0.0011499999999999844,0.00023965365634598447,0.02653409090909091
3,2,0.0011999999999999789,0.00024480196077645894,0.04369772727272727
3,3,0.0012999999999999678,0.0002547852036520143,0.04533409090909091
3,4,0.0015500000000000513,0.00027817238360412875,0.035022727272727275
3,5,0.0031999999999999806,0.0003993594871791567,0.03414545454545455
3,6,0.0019500000000000073,0.00031194530770633556,0.02445
3,7,0.0021999999999999797,0.0003312974494317742,0.02249090909090909
3,8,0.003149999999999986,0.0003962371449018874,0.022581818181818182
3,9,0.0026000000000000467,0.00036008610081479447,0.029740909090909092
3,10,0.0009000000000000119,0.00021203655345246628,0.03186590909090909
3,11,0.0009000000000000119,0.00021203655345246628,0.024013636363636362
3,12,0.0013999999999999568,0.000264389863648359,0.019486363636363635
3,13,0.0008000000000000229,0.00019991998399359966,0.017602272727272727
3,14,0.0005500000000000504,0.00016578562965469148,0.017988636363636363
5,0,0.0018000000000000238,0.0002997298783905288,0.040086363636363635
5,1,0.0009000000000000119,0.00021203655345246628,0.03593409090909091
5,2,0.0004999999999999449,0.00015807434959536366,0.039360227272727276
5,3,0.00034999999999996145,0.00013226441320324253,0.03973977272727273
5,4,0.0023499999999999632,0.00034237972340662667,0.029736363636363637
5,5,0.0011999999999999789,0.00024480196077645894,0.02831818181818182
5,6,0.0007500000000000284,0.00019357653525156767,0.02351590909090909
5,7,0.0011499999999999844,0.00023965365634598447,0.026115909090909092
5,8,0.00044999999999995044,0.0001499662462022622,0.027223863636363636
5,9,0.00014999999999998348,8.65960449443228e-05,0.02687727272727273
5,10,0.00019999999999997797,9.998999949994449e-05,0.025676136363636363
5,11,0.00019999999999997797,9.998999949994449e-05,0.020807954545454546
5,12,0.00039999999999995595,0.0001413930691370613,0.0187375
7,0,0.0006500000000000394,0.00018021896404097425,0.03839848484848485
7,1,0.00014999999999998348,8.65960449443228e-05,0.035337878787878786
7,2,0.00029999999999996696,0.0001224561145880366,0.03439015151515151
7,3,0.0009500000000000064,0.00021784139872852524,0.033990151515151515
7,4,0.0008000000000000229,0.00019991998399359966,0.02735151515151515
7,5,0.00034999999999996145,0.00013226441320324253,0.02879242424242424
7,6,0.0004999999999999449,0.00015807434959536366,0.026299242424242423
7,7,0.00014999999999998348,8.65960449443228e-05,0.025415151515151516
7,8,0.0,0.0,0.02464469696969697
7,9,4.999999999999449e-05,4.999874998437186e-05,0.02378560606060606
7,10,4.999999999999449e-05,4.999874998437186e-05,0.023113636363636364
9,0,0.00014999999999998348,8.65960449443228e-05,0.034911363636363636
9,1,4.999999999999449e-05,4.999874998437186e-05,0.032126136363636364
9,2,0.0005500000000000504,0.00016578562965469148,0.031438068181818185
9,3,0.00019999999999997797,9.998999949994449e-05,0.03292784090909091
9,4,0.00024999999999997247,0.00011178942257655069,0.028480113636363637
9,5,0.00034999999999996145,0.00013226441320324253,0.027597727272727274
9,6,0.0,0.0,0.024596022727272727
9,7,0.0,0.0,0.02346193181818182
9,8,0.0,0.0,0.022980681818181817
11,0,0.0,0.0,0.03244545454545455
11,1,4.999999999999449e-05,4.999874998437186e-05,0.03164909090909091
11,2,0.0,0.0,0.031523636363636365
11,3,0.0,0.0,0.031145
11,4,4.999999999999449e-05,4.999874998437186e-05,0.026681363636363635
11,5,0.0,0.0,0.025598636363636365
11,6,0.0,0.0,0.023274545454545454
13,0,0.0,0.0,0.032348863636363634
13,1,0.0,0.0,0.03037651515151515
13,2,0.0,0.0,0.02951742424242424
13,3,0.0,0.0,0.02888787878787879
13,4,0.0,0.0,0.02523257575757576
15,0,0.0,0.0,0.030511363636363635
15,1,0.0,0.0,0.028551623376623377
15,2,0.0,0.0,0.027870454545454545
17,0,0.0,0.0,0.028946022727272726
