d,i,P_L,err,pdet_mean
3,0,0.033950000000000036,0.001280574041201836,0.07025454545454546
3,1,0.023399999999999976,0.0010689349839910745,0.06724772727272728
3,2,0.02664999999999995,0.0011388541939159717,0.07567272727272727
3,3,0.026599999999999957,0.0011378145718877034,0.07917045454545454
3,4,0.02695000000000003,0.0011450698122822038,0.07846136363636363
3,5,0.027100000000000013,0.0011481635336484087,0.07687272727272727
3,6,0.03154999999999997,0.0012360137034029997,0.06692045454545455
3,7,0.03739999999999999,0.001341663892336676,0.06628181818181818
3,8,0.035599999999999965,0.0013102030377006454,0.06837272727272728
3,9,0.03320000000000001,0.0012668417422866997,0.07472727272727273
3,10,0.03025,0.0012110932561120139,0.07518863636363636
3,11,0.030000000000000027,0.0012062338081814824,0.06788409090909091
3,12,0.03705000000000003,0.0013356140441759367,0.06352954545454545
3,13,0.03259999999999996,0.0012557316592329741,0.06207045454545455
3,14,0.03225,0.0012491984930346337,0.062006818181818184
5,0,0.011299999999999977,0.000747405846913174,0.07296363636363637
5,1,0.009700000000000042,0.000693033548971478,0.0732090909090909
5,2,0.010050000000000003,0.0007053012654178356,0.07706704545454546
5,3,0.009700000000000042,0.000693033548971478,0.07802159090909092
5,4,0.012750000000000039,0.0007933296130865165,0.0726909090909091
5,5,0.0131,0.0008040021766139691,0.07157727272727273
5,6,0.013900000000000023,0.0008278523419064544,0.0676465909090909
5,7,0.01429999999999998,0.0008395090827382388,0.07050454545454546
5,8,0.012950000000000017,0.0007994466054715605,0.07178068181818181
5,9,0.011850000000000027,0.0007651659133808832,0.07130568181818182
5,10,0.01100000000000001,0.0007375296604205153,0.06935909090909091
5,11,0.009600000000000053,0.0006894867656452897,0.06497727272727273
5,12,0.011349999999999971,0.0007490386338500829,0.06276818181818182
7,0,0.005600000000000049,0.0005276665613813353,0.07479621212121212
7,1,0.004149999999999987,0.0004545754887804658,0.07443030303030303
7,2,0.005149999999999988,0.0005061362217822385,0.07368484848484848
7,3,0.005299999999999971,0.0005134155237232301,0.07410833333333333
7,4,0.005800000000000027,0.0005369525118667398,0.07125151515151515
7,5,0.006199999999999983,0.0005550477456940071,0.07262727272727272
7,6,0.006000000000000005,0.0005460769176590421,0.07016060606060606
7,7,0.004049999999999998,0.0004490878254862849,0.06963106060606061
7,8,0.0040000000000000036,0.00044631827208842814,0.06903030303030303
7,9,0.0037000000000000366,0.0004293198108636519,0.06822727272727273
7,10,0.0030999999999999917,0.0003930896844232873,0.06690833333333333
9,0,0.0026000000000000467,0.00036008610081479447,0.07282727272727273
9,1,0.0021499999999999853,0.0003275192742419891,0.07239318181818181
9,2,0.003750000000000031,0.00043220004049051355,0.07235681818181817
9,3,0.0036000000000000476,0.00042349970484051384,0.07426306818181819
9,4,0.003550000000000053,0.0004205590029948267,0.07223579545454545
9,5,0.00275000000000003,0.00037029970969473027,0.07144147727272727
9,6,0.0021499999999999853,0.0003275192742419891,0.06850284090909091
9,7,0.0018000000000000238,0.0002997298783905288,0.06774090909090909
9,8,0.0016500000000000403,0.00028699107128968667,0.06727443181818182
11,0,0.0023499999999999632,0.00034237972340662667,0.07193636363636363
11,1,0.0018000000000000238,0.0002997298783905288,0.07286
11,2,0.002449999999999952,0.00034957098706843166,0.07292318181818182
11,3,0.0020000000000000018,0.0003159113799786264,0.07298727272727273
11,4,0.0017500000000000293,0.00029554504732781677,0.07049454545454545
11,5,0.0008500000000000174,0.0002060676466600249,0.06956727272727273
11,6,0.0007500000000000284,0.00019357653525156767,0.06720363636363637
13,0,0.0016500000000000403,0.00028699107128968667,0.0724784090909091
13,1,0.0017000000000000348,0.0002912996738755499,0.07203068181818181
13,2,0.0016000000000000458,0.00028261634772249513,0.07135757575757576
13,3,0.0011499999999999844,0.00023965365634598447,0.07116780303030303
13,4,0.00044999999999995044,0.0001499662462022622,0.06907992424242425
15,0,0.0012999999999999678,0.0002547852036520143,0.0712
15,1,0.0009500000000000064,0.00021784139872852524,0.0706077922077922
15,2,0.0007500000000000284,0.00019357653525156767,0.07002175324675325
17,0,0.0008500000000000174,0.0002060676466600249,0.07005085227272727
