d,i,P_L,err,pdet_mean
3,0,0.09635000000000005,0.002086464443742093,0.11196363636363636
3,1,0.08945000000000003,0.002018027471319457,0.11157727272727273
3,2,0.09555000000000002,0.002078703893054516,0.11988181818181819
3,3,0.0937,0.002060586203001466,0.12217954545454546
3,4,0.08379999999999999,0.001959305489197639,0.12084545454545455
3,5,0.07769999999999999,0.0018929171931175435,0.12023636363636364
3,6,0.09104999999999996,0.002034206202674645,0.11174772727272728
3,7,0.09065000000000001,0.002030179517924462,0.11132727272727273
3,8,0.09135000000000004,0.0020372184161252817,0.111525
3,9,0.09555000000000002,0.002078703893054516,0.11645909090909091
3,10,0.09240000000000004,0.0020477089636957695,0.11860227272727272
3,11,0.09589999999999999,0.002082104584308867,0.11281818181818182
3,12,0.0907,0.002030683505620706,0.10914318181818182
3,13,0.08484999999999998,0.0019704121079104236,0.10642272727272727
3,14,0.08079999999999998,0.0019270620124946678,0.10518181818181818
5,0,0.05335000000000001,0.0015890842881987098,0.11592272727272727
5,1,0.04844999999999999,0.001518265416519786,0.11687840909090909
5,2,0.045399999999999996,0.001472053667499932,0.12036363636363637
5,3,0.04574999999999996,0.0014774460650054193,0.12120795454545455
5,4,0.04530000000000001,0.001470508585490068,0.1162965909090909
5,5,0.047150000000000025,0.0014987807961806827,0.11578181818181818
5,6,0.04910000000000003,0.0015278938117552546,0.11163636363636363
5,7,0.04964999999999997,0.0015359830321328418,0.11389318181818182
5,8,0.05135000000000001,0.0015606597563210247,0.11506363636363637
5,9,0.051100000000000034,0.0015570611741354292,0.11463863636363636
5,10,0.05105000000000004,0.001556340218268487,0.11387272727272728
5,11,0.04984999999999995,0.0015389115877788425,0.10962045454545455
5,12,0.046699999999999964,0.0014919636389671158,0.1071625
7,0,0.02815000000000001,0.0011695635403858999,0.11756363636363637
7,1,0.025449999999999973,0.0011136044517691182,0.11799772727272727
7,2,0.025150000000000006,0.0011071918871631964,0.11749166666666666
7,3,0.027449999999999974,0.001155346214344427,0.11791439393939394
7,4,0.025000000000000022,0.0011039701082909813,0.1147060606060606
7,5,0.025000000000000022,0.0011039701082909813,0.11600757575757575
7,6,0.02564999999999995,0.0011178568222272465,0.11395833333333333
7,7,0.026449999999999974,0.001134689329728626,0.11353484848484849
7,8,0.026050000000000018,0.0011263080728646142,0.11309015151515152
7,9,0.02364999999999995,0.001074492380149807,0.1119
7,10,0.02364999999999995,0.001074492380149807,0.11097575757575757
9,0,0.017850000000000033,0.0009362525700899313,0.11610965909090909
9,1,0.01539999999999997,0.0008707135005270094,0.11633011363636364
9,2,0.017000000000000015,0.0009140842411944321,0.116
9,3,0.016900000000000026,0.0009114381493003248,0.11755056818181818
9,4,0.01585000000000003,0.0008831414807379402,0.11568011363636363
9,5,0.015100000000000002,0.0008623221555776008,0.11521022727272727
9,6,0.014950000000000019,0.0008580937448787288,0.11275454545454545
9,7,0.013149999999999995,0.000805514664670979,0.11175681818181818
9,8,0.01265000000000005,0.0007902524122076455,0.11111306818181818
11,0,0.010499999999999954,0.0007207548126790397,0.11519272727272727
11,1,0.010149999999999992,0.0007087657405659501,0.1163559090909091
11,2,0.011499999999999955,0.0007539147829827969,0.11652045454545455
11,3,0.009600000000000053,0.0006894867656452897,0.11660409090909091
11,4,0.009650000000000047,0.0006912625224905531,0.11437272727272728
11,5,0.007449999999999957,0.0006080500596168031,0.11345272727272727
11,6,0.00649999999999995,0.0005682319068830943,0.11124
13,0,0.007850000000000024,0.0006240343540222775,0.11576098484848485
13,1,0.008499999999999952,0.0006491436666871192,0.11576628787878789
13,2,0.007299999999999973,0.000601943103623589,0.1152909090909091
13,3,0.006800000000000028,0.0005811092840421683,0.11490719696969696
13,4,0.00495000000000001,0.0004962608940869717,0.11284090909090909
15,0,0.006299999999999972,0.0005594778816003351,0.11481558441558441
15,1,0.005099999999999993,0.0005036859140377063,0.11443149350649351
15,2,0.004449999999999954,0.00047064835599415164,0.11384675324675325
17,0,0.003950000000000009,0.00044353114321319135,0.11361136363636364
