d,i,P_L,err,pdet_mean
3,0,0.17895000000000005,0.0027104141519332433,0.1615818181818182
3,1,0.16879999999999995,0.0026486464467723883,0.1618090909090909
3,2,0.17310000000000003,0.0026752232617110673,0.16769545454545454
3,3,0.17459999999999998,0.00268435131828902,0.17037727272727274
3,4,0.1784,0.0027071520090308928,0.16940454545454545
3,5,0.17369999999999997,0.002678883256134914,0.16845227272727273
3,6,0.16879999999999995,0.0026486464467723883,0.1627409090909091
3,7,0.16469999999999996,0.0026227267299511014,0.16302954545454545
3,8,0.16810000000000003,0.0026442616171627195,0.16189772727272728
3,9,0.17410000000000003,0.0026813167474209385,0.16615681818181818
3,10,0.17105000000000004,0.0026626293161084217,0.16714545454545454
3,11,0.17100000000000004,0.002662320416478828,0.16169545454545456
3,12,0.17264999999999997,0.002672470556432755,0.15862272727272728
3,13,0.16574999999999995,0.0026294194939187623,0.15689545454545453
3,14,0.1613,0.0026007913218864752,0.15644318181818181
5,0,0.12924999999999998,0.0023721766112581076,0.16463863636363638
5,1,0.12250000000000005,0.00231833722741106,0.1660931818181818
5,2,0.12075000000000002,0.0023040121256191343,0.16855
5,3,0.12260000000000004,0.0023191511378088323,0.16941477272727273
5,4,0.11604999999999999,0.002264756029906974,0.16607272727272726
5,5,0.11639999999999995,0.0022677195593811855,0.16574090909090908
5,6,0.11795,0.00228076519506064,0.1623193181818182
5,7,0.11609999999999998,0.0022651797941885318,0.1645931818181818
5,8,0.11685000000000001,0.002271520168301396,0.1645215909090909
5,9,0.11855000000000004,0.002285781020789175,0.16392613636363637
5,10,0.12239999999999995,0.002317522815421673,0.16288409090909092
5,11,0.12055000000000005,0.0023023650611925122,0.15929545454545455
5,12,0.11439999999999995,0.002250695892385286,0.15753295454545455
7,0,0.0897,0.0020205681131800534,0.16622727272727272
7,1,0.08460000000000001,0.001967775901875008,0.16687954545454545
7,2,0.08465,0.001968303552554839,0.16661363636363635
7,3,0.08509999999999995,0.001973043207839098,0.16728636363636365
7,4,0.08155000000000001,0.0019351950483090846,0.1646810606060606
7,5,0.07869999999999999,0.0019040261290223933,0.16587954545454545
7,6,0.07789999999999997,0.001895146300421157,0.1639280303030303
7,7,0.08035000000000003,0.0019221586497997509,0.16362727272727273
7,8,0.07784999999999997,0.0018945893684384483,0.16255530303030302
7,9,0.07999999999999996,0.0019183326093250874,0.16158257575757576
7,10,0.07984999999999998,0.0019166895614574622,0.16073712121212122
9,0,0.059150000000000036,0.0016681018778839623,0.1653556818181818
9,1,0.06105000000000005,0.001692969248096374,0.16591704545454544
9,2,0.06015000000000004,0.001681249200743305,0.1654346590909091
9,3,0.05974999999999997,0.0016760062276137278,0.16700397727272728
9,4,0.05589999999999995,0.0016244258985869432,0.16529715909090908
9,5,0.054950000000000054,0.0016113735988280316,0.16483352272727272
9,6,0.056400000000000006,0.0016312424712469939,0.16260170454545456
9,7,0.055849999999999955,0.0016237422440153481,0.16194431818181818
9,8,0.051899999999999946,0.0015685405637088248,0.16102727272727274
11,0,0.04464999999999997,0.0014604173632903705,0.1646640909090909
11,1,0.042950000000000044,0.0014336195014717126,0.165965
11,2,0.04325000000000001,0.00143839211448061,0.1657768181818182
11,3,0.04254999999999998,0.001427226287243897,0.16594227272727272
11,4,0.04125000000000001,0.001406208332716031,0.16396227272727273
11,5,0.0393,0.0013739634274608622,0.16324590909090908
11,6,0.03820000000000001,0.001355373749192451,0.16137
13,0,0.03380000000000005,0.0012778411481870517,0.16507765151515152
13,1,0.03125,0.0012303137303143455,0.1652534090909091
13,2,0.03169999999999995,0.0012388524932371882,0.1645844696969697
13,3,0.03025,0.0012110932561120139,0.1644344696969697
13,4,0.028349999999999986,0.0011735901648360894,0.16270909090909091
15,0,0.023800000000000043,0.001077811671861092,0.16415551948051949
15,1,0.023050000000000015,0.0010611007845628994,0.16405941558441559
15,2,0.021649999999999947,0.0010291082911919414,0.16342142857142858
17,0,0.01815,0.0009439432583582554,0.16319147727272726
