d,i,P_L,err,pdet_mean
3,0,0.2713,0.00314401264310435,0.2084840909090909
3,1,0.2561,0.0030863634750301202,0.20960454545454546
3,2,0.26370000000000005,0.0031157848930887387,0.2166840909090909
3,3,0.26395,0.003116732243071259,0.2188159090909091
3,4,0.26835,0.003133195473474325,0.21841590909090908
3,5,0.26605,0.003124639159167023,0.21813636363636363
3,6,0.25429999999999997,0.0030792167023449323,0.21001818181818183
3,7,0.2559,0.0030855727993356436,0.20935454545454546
3,8,0.25975000000000004,0.0031006445902424873,0.2112090909090909
3,9,0.26144999999999996,0.0031072004883817843,0.21532272727272728
3,10,0.26395,0.003116732243071259,0.21536590909090908
3,11,0.26549999999999996,0.003122577060698422,0.209475
3,12,0.26444999999999996,0.003118623073569488,0.20679090909090908
3,13,0.258,0.0030938325746555843,0.20501363636363637
3,14,0.25415,0.0030786180138172386,0.20382272727272727
5,0,0.22935000000000005,0.002972781336560091,0.21258409090909092
5,1,0.21719999999999995,0.0029156831103533867,0.21421022727272726
5,2,0.21550000000000002,0.0029074021909601708,0.21755
5,3,0.21435000000000004,0.0029017587554791666,0.21847613636363636
5,4,0.21030000000000004,0.0028816133501911737,0.21421704545454545
5,5,0.21425000000000005,0.002901266426062936,0.21374545454545454
5,6,0.21214999999999995,0.0028908681870676843,0.21061363636363636
5,7,0.20584999999999998,0.002858983888552015,0.21233863636363637
5,8,0.21430000000000005,0.002901512622753863,0.2132875
5,9,0.21819999999999995,0.002920520159149736,0.21239886363636365
5,10,0.21204999999999996,0.0028903701968779013,0.21107840909090908
5,11,0.20840000000000003,0.0028720153202933998,0.20724431818181818
5,12,0.21430000000000005,0.002901512622753863,0.20530681818181817
7,0,0.18105000000000004,0.0027227825610944404,0.2145280303030303
7,1,0.17610000000000003,0.0026934066718562943,0.2155189393939394
7,2,0.17425000000000002,0.002682227968499322,0.21503939393939395
7,3,0.17579999999999996,0.0026916013820772198,0.21543560606060605
7,4,0.17205000000000004,0.0026687899645719596,0.21321439393939393
7,5,0.17315000000000003,0.0026755287094329602,0.2142712121212121
7,6,0.17474999999999996,0.0026852601130989153,0.21219772727272726
7,7,0.17420000000000002,0.002681924309148191,0.2113840909090909
7,8,0.17010000000000003,0.002656746036037318,0.2111219696969697
7,9,0.17254999999999998,0.002671857944390008,0.2099371212121212
7,10,0.17145,0.002665097535738608,0.20865984848484848
9,0,0.15385000000000004,0.0025512759307844382,0.21340056818181818
9,1,0.14685000000000004,0.0025028491514671835,0.21397784090909092
9,2,0.14815,0.002511987037187891,0.21408181818181818
9,3,0.14529999999999998,0.0024918658671766424,0.21540738636363638
9,4,0.14464999999999995,0.0024872311663775844,0.21375227272727274
9,5,0.14490000000000003,0.0024890157693353413,0.2130721590909091
9,6,0.14205,0.002468519774075144,0.21084602272727274
9,7,0.14270000000000005,0.0024732237060160977,0.20979147727272726
9,8,0.14334999999999998,0.0024779101829969542,0.2092971590909091
11,0,0.12639999999999996,0.0023497131739852843,0.21296227272727272
11,1,0.12114999999999998,0.0023073001267715477,0.21424681818181818
11,2,0.12214999999999998,0.002315484587510787,0.21433863636363637
11,3,0.12234999999999996,0.0023171154211648584,0.2142209090909091
11,4,0.11634999999999995,0.0022672966005796414,0.21236
11,5,0.11634999999999995,0.0022672966005796414,0.21146045454545453
11,6,0.11670000000000003,0.0022702545011517986,0.20944136363636365
13,0,0.10975000000000001,0.002210259458751393,0.2133628787878788
13,1,0.10655000000000003,0.0021817091637062903,0.21345151515151514
13,2,0.10355000000000003,0.002154383873639979,0.21308068181818182
13,3,0.09975,0.00211896127265224,0.21268636363636365
13,4,0.09894999999999998,0.002111384587184438,0.21093712121212121
15,0,0.09219999999999995,0.002045716989224071,0.212424025974026
15,1,0.08835000000000004,0.0020067919361508313,0.2122461038961039
15,2,0.08660000000000001,0.0019887237113284492,0.21175811688311688
17,0,0.07855000000000001,0.0019023655997205166,0.21134886363636363
