d,i,P_L,err,pdet_mean
3,0,0.35395,0.003381341431296165,0.2534159090909091
3,1,0.351,0.0033748999985184747,0.25542045454545453
3,2,0.35219999999999996,0.0033775372684842426,0.26234090909090907
3,3,0.35175,0.003376551032488625,0.2630636363636364
3,4,0.34455,0.0033603221385754074,0.26175227272727275
3,5,0.3399,0.003349387929159595,0.2610613636363636
3,6,0.3519,0.003376880142972208,0.2556931818181818
3,7,0.3435,0.003357884378593164,0.2560090909090909
3,8,0.35119999999999996,0.003375341167941398,0.2576045454545455
3,9,0.35645000000000004,0.003386690106136078,0.26138181818181816
3,10,0.35650000000000004,0.0033867960523184743,0.2610613636363636
3,11,0.35,0.00337268439080801,0.2564090909090909
3,12,0.34865,0.0033696674724666823,0.2534431818181818
3,13,0.34630000000000005,0.0033643447356060292,0.2514818181818182
3,14,0.33204999999999996,0.0033301110904893245,0.25175681818181816
5,0,0.32645,0.0033157231300275963,0.2578784090909091
5,1,0.3127,0.0032780993731124134,0.25924204545454543
5,2,0.30879999999999996,0.0032668223092173223,0.2620465909090909
5,3,0.31079999999999997,0.0032726393018479745,0.2620625
5,4,0.3065,0.003260044094793811,0.25872272727272727
5,5,0.3077,0.003263592422469448,0.25853522727272726
5,6,0.31125,0.0032739382821000153,0.25664886363636363
5,7,0.30465,0.0032545228336885268,0.25869545454545456
5,8,0.31455,0.003283354211016533,0.2593329545454545
5,9,0.32020000000000004,0.0032990298573974744,0.25889545454545454
5,10,0.31575,0.0032867304232321822,0.25725227272727275
5,11,0.31455,0.003283354211016533,0.25394545454545453
5,12,0.31215000000000004,0.0032765254271865498,0.2526
7,0,0.29074999999999995,0.003211031279044164,0.259169696969697
7,1,0.2793,0.0031724715128744656,0.25984848484848483
7,2,0.28115,0.003178873051098455,0.25992878787878787
7,3,0.27885000000000004,0.0031709042677129187,0.26004469696969695
7,4,0.27154999999999996,0.003144921282798665,0.25835
7,5,0.27815,0.0031684584382629987,0.2594840909090909
7,6,0.28325,0.0031860589879975543,0.25811969696969694
7,7,0.2851,0.0031923188280621345,0.25793333333333335
7,8,0.28069999999999995,0.0031773220642547398,0.25736969696969697
7,9,0.28345,0.0031867389091357954,0.25642424242424244
7,10,0.28045,0.003176458700345402,0.25542045454545453
9,0,0.26875000000000004,0.0031346725307438415,0.2583005681818182
9,1,0.25575000000000003,0.003084979234127841,0.25888863636363635
9,2,0.25265000000000004,0.003072604575112131,0.25934772727272726
9,3,0.2532,0.0030748151163931792,0.2603789772727273
9,4,0.25095,0.0030657307244766293,0.2590278409090909
9,5,0.2562,0.0030867584939544587,0.25871534090909093
9,6,0.259,0.0030977330420809343,0.25695056818181816
9,7,0.25460000000000005,0.003080412634696852,0.25632045454545455
9,8,0.25134999999999996,0.0030673537251187707,0.25596647727272726
11,0,0.24719999999999998,0.0030503455541954585,0.25816136363636366
11,1,0.23695,0.0030066983345523705,0.25938727272727274
11,2,0.236,0.0030025322646059943,0.25969045454545453
11,3,0.23634999999999995,0.0030040695522906917,0.259585
11,4,0.23399999999999999,0.002993693371071927,0.2579109090909091
11,5,0.23199999999999998,0.0029847612969884207,0.25726863636363634
11,6,0.22960000000000003,0.002973918626997047,0.2559118181818182
13,0,0.22409999999999997,0.0029485521023037728,0.258644696969697
13,1,0.22124999999999995,0.0029351187156570003,0.2588909090909091
13,2,0.21604999999999996,0.0029100893242304435,0.2586492424242424
13,3,0.2127,0.002893602512440159,0.25823446969696967
13,4,0.21409999999999996,0.0029005274520335087,0.2568852272727273
15,0,0.20745000000000002,0.0028671806491743766,0.25790162337662337
15,1,0.19979999999999998,0.0028273659119399455,0.2578324675324675
15,2,0.19874999999999998,0.0028217763687081935,0.2576646103896104
17,0,0.18774999999999997,0.0027613396884483446,0.25713352272727275
