d,i,P_L,err,pdet_mean
3,0,0.46275,0.0035257087053527265,0.3344840909090909
3,1,0.44894999999999996,0.0035170577014032624,0.3361068181818182
3,2,0.44099999999999995,0.0035108332344331024,0.3397022727272727
3,3,0.4497,0.0035175979730492227,0.34009545454545453
3,4,0.45009999999999994,0.00351788281498972,0.3401636363636364
3,5,0.45230000000000004,0.003519408401990312,0.34000454545454545
3,6,0.45589999999999997,0.0035217551732055425,0.3362340909090909
3,7,0.44889999999999997,0.003517021396011119,0.33702272727272725
3,8,0.45799999999999996,0.0035230384613285162,0.33800454545454545
3,9,0.46065,0.0035245678990480523,0.33999545454545455
3,10,0.44810000000000005,0.0035164356243218785,0.3386181818181818
3,11,0.45809999999999995,0.003523097997501631,0.3346386363636364
3,12,0.46094999999999997,0.003524734724060805,0.3437295454545455
3,13,0.44830000000000003,0.003516582929492777,0.3428522727272727
3,14,0.45245,0.0035195098913058903,0.33119545454545457
5,0,0.4537,0.0035203430940747805,0.3370931818181818
5,1,0.4568,0.003522312876506004,0.33810113636363637
5,2,0.46114999999999995,0.003524845227098631,0.3399329545454545
5,3,0.44089999999999996,0.0035107491365803964,0.34005
5,4,0.4495,0.0035174546905397375,0.33819886363636364
5,5,0.4586,0.003523393534648096,0.33851363636363635
5,6,0.44694999999999996,0.0035155774596785662,0.3371193181818182
5,7,0.43945,0.0035095134812392443,0.3385090909090909
5,8,0.4424,0.003511995444188389,0.33831136363636366
5,9,0.4448,0.003513922025315872,0.33731704545454544
5,10,0.4414,0.0035111681816740138,0.34117386363636365
5,11,0.4385,0.003508687432644863,0.33874545454545457
5,12,0.45740000000000003,0.0035226782424740413,0.3374625
7,0,0.4487,0.003516875815265589,0.3381166666666667
7,1,0.4527,0.003519678323369907,0.33873560606060604
7,2,0.44589999999999996,0.0035147773044675247,0.3387
7,3,0.43615000000000004,0.0035065879248922308,0.3390409090909091
7,4,0.43355,0.003504171781605462,0.3381340909090909
7,5,0.43074999999999997,0.0035014599633581417,0.3390075757575758
7,6,0.4317,0.003502392824912705,0.3376189393939394
7,7,0.4336,0.003504219171227736,0.3372189393939394
7,8,0.4365,0.0035069056873545945,0.34011742424242425
7,9,0.42574999999999996,0.003496333347236788,0.3391621212121212
7,10,0.43174999999999997,0.0035024415591127286,0.33784772727272727
9,0,0.4354,0.0035059010254141518,0.33764602272727273
9,1,0.44084999999999996,0.0035107070334905476,0.3383073863636364
9,2,0.43584999999999996,0.003506314143798299,0.3385261363636364
9,3,0.41759999999999997,0.003487192567094625,0.3392795454545455
9,4,0.4345,0.003505065976554507,0.3382551136363636
9,5,0.4374,0.0035077146406171642,0.3379153409090909
9,6,0.42715000000000003,0.003497805579931509,0.3391465909090909
9,7,0.41955,0.0034894684229836498,0.3386272727272727
9,8,0.42779999999999996,0.0034984793839609803,0.3378869318181818
11,0,0.4284,0.0034990958832246937,0.33771772727272725
11,1,0.42745,0.003498117332937819,0.338645
11,2,0.42364999999999997,0.0034940712464115553,0.33854454545454543
11,3,0.41555,0.003484739570613563,0.33835136363636364
11,4,0.42095000000000005,0.003491067870294131,0.33935
11,5,0.42015,0.0034901574283977507,0.3389027272727273
11,6,0.42284999999999995,0.0034931925047154214,0.33755636363636365
13,0,0.41855,0.0034883083113451995,0.337867803030303
13,1,0.42015,0.0034901574283977507,0.33797727272727274
13,2,0.41925,0.0034891219346706703,0.3394087121212121
13,3,0.4093,0.0034768772627172214,0.33910151515151515
13,4,0.42479999999999996,0.0034953180112830937,0.33799090909090906
15,0,0.4121,0.003480471160633284,0.3387051948051948
15,1,0.41225,0.0034806604078823893,0.3386737012987013
15,2,0.41785000000000005,0.003487487473095782,0.3382353896103896
17,0,0.41564999999999996,0.0034848606679464245,0.3377664772727273
