d,i,P_L,err,pdet_mean
3,0,0.48285,0.0035334535337258927,0.3689977272727273
3,1,0.47735000000000005,0.0035319044260851682,0.36978636363636364
3,2,0.4728,0.00353029857094269,0.3733818181818182
3,3,0.469,0.003528732066904485,0.37354545454545457
3,4,0.47314999999999996,0.003530432533698952,0.37484772727272725
3,5,0.47535000000000005,0.0035312347521794696,0.37588636363636363
3,6,0.4897,0.003534783656746195,0.37192954545454543
3,7,0.47785,0.0035320629772131753,0.3705159090909091
3,8,0.47224999999999995,0.0035300845421887563,0.37169090909090907
3,9,0.4749,0.003531076252362727,0.37357045454545457
3,10,0.48329999999999995,0.003533561305538649,0.3725386363636364
3,11,0.47245000000000004,0.003530162868055807,0.3703727272727273
3,12,0.47875,0.003532339433718113,0.3735681818181818
3,13,0.47585,0.0035314074920631856,0.3724340909090909
3,14,0.4757,0.003531356042655569,0.3673727272727273
5,0,0.47775,0.0035320315506801466,0.3711897727272727
5,1,0.49029999999999996,0.0035348685265508815,0.3716659090909091
5,2,0.47355,0.0035305835034736112,0.3741147727272727
5,3,0.48095,0.003532966865822548,0.37471590909090907
5,4,0.47785,0.0035320629772131753,0.37338863636363634
5,5,0.48895,0.0035346704054267917,0.3732011363636364
5,6,0.48595,0.0035341377838165847,0.3718102272727273
5,7,0.46265,0.003525655807789524,0.3720431818181818
5,8,0.46855,0.0035285329635699877,0.3721147727272727
5,9,0.47619999999999996,0.0035315262989251543,0.37197159090909093
5,10,0.47450000000000003,0.0035309329503687833,0.3730534090909091
5,11,0.47950000000000004,0.003532561039812334,0.3714034090909091
5,12,0.47085,0.003529520346307696,0.3704704545454545
7,0,0.485,0.0035339425575410814,0.3724090909090909
7,1,0.47319999999999995,0.003530451529195664,0.3730727272727273
7,2,0.4726,0.003530221239525931,0.3733863636363636
7,3,0.4859,0.003534127827342978,0.3733159090909091
7,4,0.4917,0.003535046746508453,0.37282272727272725
7,5,0.48419999999999996,0.003533768243674166,0.37332424242424245
7,6,0.47985,0.0035326617266588094,0.37205303030303033
7,7,0.471,0.0035295821282412456,0.3714863636363636
7,8,0.47214999999999996,0.003530045166141646,0.3725992424242424
7,9,0.47540000000000004,0.0035312521858400316,0.37212575757575755
7,10,0.47640000000000005,0.0035315934080808343,0.3711598484848485
9,0,0.48624999999999996,0.0035341967793262445,0.37228920454545456
9,1,0.4786,0.0035322941553613567,0.3724335227272727
9,2,0.48224999999999996,0.0035333053752824705,0.3729625
9,3,0.48134999999999994,0.0035330735733918703,0.37337954545454544
9,4,0.48360000000000003,0.0035336315597413377,0.37275170454545453
9,5,0.48345000000000005,0.003533596592000847,0.37258636363636366
9,6,0.47629999999999995,0.003531559924452649,0.3724318181818182
9,7,0.475,0.0035311117229563835,0.37172329545454547
9,8,0.47104999999999997,0.003529602651149276,0.3712926136363636
11,0,0.479,0.003532414188625111,0.37216954545454545
11,1,0.4718,0.0035299062310492047,0.3726609090909091
11,2,0.47655000000000003,0.0035316433674707306,0.3728777272727273
11,3,0.48345000000000005,0.003533596592000847,0.37277818181818184
11,4,0.47885,0.0035323694420317927,0.372915
11,5,0.4737,0.0035306395313030752,0.3725559090909091
11,6,0.47230000000000005,0.0035301041769330264,0.37142
13,0,0.48045000000000004,0.0035328302924142845,0.3722310606060606
13,1,0.47624999999999995,0.0035315431294265683,0.37227954545454545
13,2,0.4726,0.003530221239525931,0.372992803030303
13,3,0.47245000000000004,0.003530162868055807,0.37272083333333333
13,4,0.47475,0.003531022780300348,0.3719912878787879
15,0,0.47809999999999997,0.0035321409230097264,0.37242207792207793
15,1,0.47130000000000005,0.003529704732693657,0.37230162337662337
15,2,0.47040000000000004,0.003529333081475876,0.3721899350649351
17,0,0.47750000000000004,0.0035319523637784246,0.3717909090909091
