d,i,P_L,err,pdet_mean
3,0,0.49185,0.0035350641967296717,0.4031772727272727
3,1,0.497,0.003535470265749664,0.40688636363636366
3,2,0.49865000000000004,0.003535521018888164,0.40840454545454546
3,3,0.4938,0.003535262083636799,0.40652727272727274
3,4,0.4889,0.0035346625722973896,0.4056977272727273
3,5,0.48860000000000003,0.0035346148305013376,0.40615
3,6,0.48745000000000005,0.0035344200196071773,0.4022090909090909
3,7,0.49345000000000006,0.0035352305264296415,0.4015909090909091
3,8,0.4881,0.0035345324301808293,0.4031568181818182
3,9,0.48924999999999996,0.0035347166612049686,0.40391818181818184
3,10,0.4899,0.003534812512708418,0.40214545454545453
3,11,0.49034999999999995,0.003534875369090118,0.40080454545454547
3,12,0.48634999999999995,0.0035342161613291286,0.401525
3,13,0.48815,0.003534540829443055,0.40047272727272726
3,14,0.49595,0.0035354179208404767,0.399675
5,0,0.49215,0.0035350981422019954,0.4057909090909091
5,1,0.49685,0.0035354637425661713,0.4067068181818182
5,2,0.48905,0.003534685965542059,0.4070511363636364
5,3,0.4908,0.0035349353600879325,0.4063386363636364
5,4,0.48109999999999997,0.0035330071468934222,0.4039534090909091
5,5,0.48414999999999997,0.0035337570481005056,0.40387045454545456
5,6,0.4889,0.0035346625722973896,0.40268295454545455
5,7,0.49295,0.0035351824387151506,0.4027545454545455
5,8,0.4881,0.0035345324301808293,0.40265113636363636
5,9,0.48965000000000003,0.0035347763543115427,0.40236136363636366
5,10,0.4889,0.0035346625722973896,0.40183522727272725
5,11,0.484,0.003533723248925982,0.4006386363636364
5,12,0.4908,0.0035349353600879325,0.4006
7,0,0.49015,0.003534847786680496,0.4057598484848485
7,1,0.49060000000000004,0.0035349090511638346,0.4065212121212121
7,2,0.48629999999999995,0.0035342064880252823,0.4054371212121212
7,3,0.48519999999999996,0.0035339847198311426,0.4047560606060606
7,4,0.48455000000000004,0.0035338456212743647,0.40368787878787876
7,5,0.48765000000000003,0.0035344552444471554,0.40388636363636365
7,6,0.48819999999999997,0.0035345491933201326,0.4025037878787879
7,7,0.48750000000000004,0.003534428878899673,0.40210454545454544
7,8,0.48834999999999995,0.0035345740726429823,0.40227575757575756
7,9,0.4806,0.003532871636501955,0.4017318181818182
7,10,0.48314999999999997,0.0035335257003451946,0.40111515151515154
9,0,0.48845000000000005,0.0035345904819370517,0.40487215909090907
9,1,0.48419999999999996,0.003533768243674166,0.4052886363636364
9,2,0.48065,0.0035328853469933042,0.40486704545454544
9,3,0.48760000000000003,0.0035344464913193976,0.4045465909090909
9,4,0.48724999999999996,0.0035343842285467495,0.4033022727272727
9,5,0.48529999999999995,0.003534005588563776,0.4031159090909091
9,6,0.48465,0.0035338674105008525,0.4022590909090909
9,7,0.487,0.0035343386934474745,0.40169659090909093
9,8,0.48134999999999994,0.0035330735733918703,0.40162556818181816
11,0,0.4851,0.0035339637094910863,0.4045290909090909
11,1,0.47724999999999995,0.0035318722903015616,0.40501454545454546
11,2,0.49329999999999996,0.0035352164714483893,0.4043227272727273
11,3,0.4871,0.00353435701365892,0.40379818181818183
11,4,0.48734999999999995,0.003534402194855588,0.40294681818181816
11,5,0.482,0.0035332421371878833,0.40258727272727274
11,6,0.48260000000000003,0.0035333924208895903,0.40174227272727275
13,0,0.49055000000000004,0.003534902385498078,0.4041318181818182
13,1,0.483,0.00353348977641085,0.4043128787878788
13,2,0.48750000000000004,0.003534428878899673,0.4038564393939394
13,3,0.48915,0.0035347013841341675,0.4032439393939394
13,4,0.48685,0.0035343109476954626,0.4024015151515152
15,0,0.48540000000000005,0.0035340263156914947,0.4037594155844156
15,1,0.47695,0.0035317750317651886,0.4037642857142857
15,2,0.48614999999999997,0.0035341772557414266,0.4032590909090909
17,0,0.48519999999999996,0.0035339847198311426,0.40324886363636364
