d,i,P_L,err,pdet_mean
3,0,0.50145,0.0035355190389814053,0.4555886363636364
3,1,0.4961,0.0035354263533554195,0.45519545454545457
3,2,0.49924999999999997,0.003535529928454856,0.45702272727272725
3,3,0.50195,0.0035355070180951415,0.4561840909090909
3,4,0.49750000000000005,0.0035354897114826963,0.4562659090909091
3,5,0.4998,0.003535533623090014,0.45795681818181816
3,6,0.49644999999999995,0.003535444791677562,0.45500454545454544
3,7,0.49729999999999996,0.0035354823574725983,0.45436136363636365
3,8,0.5044500000000001,0.003535393878339442,0.4550068181818182
3,9,0.49265000000000003,0.0035351518885332212,0.4556909090909091
3,10,0.49475,0.0035353390042540474,0.4550159090909091
3,11,0.49550000000000005,0.00353539071390985,0.45343181818181816
3,12,0.49505,0.003535360642848195,0.4540318181818182
3,13,0.49715,0.0035354764707179144,0.45495681818181816
3,14,0.4988,0.003535523723580426,0.45535
5,0,0.49485,0.0035353463585623404,0.4563056818181818
5,1,0.49895,0.00353552611007188,0.45568977272727273
5,2,0.49715,0.0035354764707179144,0.45664431818181817
5,3,0.49434999999999996,0.00353530817256431,0.45707045454545453
5,4,0.49815,0.003535509705120324,0.45563522727272726
5,5,0.49724999999999997,0.003535480430578,0.4561590909090909
5,6,0.49405,0.0035352835635914692,0.4550056818181818
5,7,0.4988,0.003535523723580426,0.45502613636363637
5,8,0.50185,0.003535509705120324,0.45501136363636363
5,9,0.49850000000000005,0.0035355179959943635,0.4545613636363636
5,10,0.49944999999999995,0.0035355317669340776,0.45452386363636366
5,11,0.5039,0.0035354263533554195,0.45419431818181816
5,12,0.497,0.003535470265749664,0.4546909090909091
7,0,0.5017,0.0035355134704877027,0.4562924242424242
7,1,0.4991,0.0035355281783631706,0.45644545454545454
7,2,0.49675,0.0035354592169900647,0.4560977272727273
7,3,0.49850000000000005,0.0035355179959943635,0.45616742424242424
7,4,0.49695,0.0035354681267125007,0.4554257575757576
7,5,0.49885,0.003535524554433189,0.4560030303030303
7,6,0.4948,0.003535342699088732,0.4550090909090909
7,7,0.50125,0.003535522857372018,0.45449469696969697
7,8,0.5014000000000001,0.003535520046612662,0.45468484848484847
7,9,0.4969,0.003535465952318025,0.4546931818181818
7,10,0.49750000000000005,0.0035354897114826963,0.4547992424242424
9,0,0.49439999999999995,0.0035353121502916824,0.45597045454545454
9,1,0.49544999999999995,0.0035353875141206233,0.4559244318181818
9,2,0.50085,0.0035355287970825523,0.455825
9,3,0.5008,0.0035355293804464416,0.45604829545454545
9,4,0.50015,0.003535533746833708,0.4553232954545455
9,5,0.49860000000000004,0.003535520046612662,0.4553602272727273
9,6,0.49770000000000003,0.0035354964997861334,0.4547647727272727
9,7,0.4991,0.0035355281783631706,0.45461022727272726
9,8,0.49955000000000005,0.0035355324740412157,0.4548511363636364
11,0,0.5052,0.003535342699088732,0.45577772727272725
11,1,0.497,0.003535470265749664,0.4558777272727273
11,2,0.49824999999999997,0.0035355122507212443,0.45566318181818183
11,3,0.5003,0.003535533269536577,0.455525
11,4,0.49829999999999997,0.0035355134704877027,0.455065
11,5,0.5004,0.0035355327745617065,0.45527954545454546
11,6,0.5014000000000001,0.003535520046612662,0.45488181818181816
13,0,0.5024,0.0035354931763475375,0.45565075757575757
13,1,0.49865000000000004,0.003535521018888164,0.45547007575757575
13,2,0.49639999999999995,0.0035354422637061973,0.45539128787878785
13,3,0.49465000000000003,0.003535331508501006,0.455430303030303
13,4,0.497,0.003535470265749664,0.4551125
15,0,0.5003,0.003535533269536577,0.4554194805194805
15,1,0.4969,0.003535465952318025,0.45539675324675327
15,2,0.5005999999999999,0.0035355313603474088,0.4553853896103896
17,0,0.49639999999999995,0.0035354422637061973,0.45541079545454544
