d,i,P_L,err,pdet_mean
3,0,0.49844999999999995,0.003535516917651505,0.48904545454545456
3,1,0.50385,0.0035354290934764905,0.48811136363636365
3,2,0.49950000000000006,0.0035355321381653425,0.4887159090909091
3,3,0.5037499999999999,0.0035354344676432627,0.4894386363636364
3,4,0.495,0.0035353571248178026,0.48907727272727275
3,5,0.49760000000000004,0.0035354931763475375,0.48931363636363634
3,6,0.494,0.0035352793383267465,0.4889090909090909
3,7,0.495,0.0035353571248178026,0.487825
3,8,0.5005999999999999,0.0035355313603474088,0.48807045454545456
3,9,0.49760000000000004,0.0035354931763475375,0.4900159090909091
3,10,0.50115,0.003535524554433189,0.49005
3,11,0.50305,0.0035354681267125007,0.48863181818181817
3,12,0.50275,0.0035354804305780005,0.4889818181818182
3,13,0.5025999999999999,0.0035354861051911943,0.49003636363636366
3,14,0.4988,0.003535523723580426,0.4898340909090909
5,0,0.5,0.0035355339059327377,0.48888068181818184
5,1,0.49529999999999996,0.0035353777025941653,0.488775
5,2,0.49365000000000003,0.003535248771303089,0.48889659090909093
5,3,0.50335,0.0035354545499836367,0.48937613636363636
5,4,0.49929999999999997,0.003535530441107812,0.4889931818181818
5,5,0.49444999999999995,0.0035353160926570627,0.4885693181818182
5,6,0.5004,0.0035355327745617065,0.48848977272727273
5,7,0.5013000000000001,0.00353552195580794,0.4889204545454545
5,8,0.5043,0.003535403159471349,0.4890602272727273
5,9,0.50115,0.003535524554433189,0.48932386363636365
5,10,0.5006999999999999,0.003535530441107812,0.4895159090909091
5,11,0.5013000000000001,0.00353552195580794,0.4893340909090909
5,12,0.49905,0.003535527524288278,0.48940795454545455
7,0,0.49444999999999995,0.0035353160926570627,0.48894621212121214
7,1,0.49829999999999997,0.0035355134704877027,0.4889545454545455
7,2,0.4951,0.003535364125518049,0.48890075757575757
7,3,0.49229999999999996,0.0035351146374622707,0.4888590909090909
7,4,0.5058,0.003535296027209037,0.48868560606060607
7,5,0.49775,0.0035354981084707144,0.4890515151515151
7,6,0.49955000000000005,0.0035355324740412157,0.48900984848484846
7,7,0.49544999999999995,0.0035353875141206233,0.48882424242424244
7,8,0.4988,0.003535523723580426,0.4890340909090909
7,9,0.5004,0.0035355327745617065,0.48956136363636366
7,10,0.50505,0.0035353535714267676,0.4896219696969697
9,0,0.4961,0.0035354263533554195,0.4889369318181818
9,1,0.49985,0.003535533746833708,0.4886721590909091
9,2,0.5028,0.0035354784683264582,0.48869318181818183
9,3,0.49770000000000003,0.0035354964997861334,0.48914829545454547
9,4,0.5004500000000001,0.003535532474041216,0.48902670454545455
9,5,0.4999,0.003535533835222059,0.48894659090909093
9,6,0.5008,0.0035355293804464416,0.4890028409090909
9,7,0.49834999999999996,0.003535514654898209,0.48912727272727274
9,8,0.5023500000000001,0.003535494855745091,0.4892340909090909
11,0,0.5061,0.003535270781708241,0.48876363636363634
11,1,0.50345,0.0035354497415463282,0.4889409090909091
11,2,0.5016499999999999,0.0035355146548982086,0.48896454545454543
11,3,0.5021,0.003535502722386167,0.489045
11,4,0.5019,0.003535508379285785,0.4890177272727273
11,5,0.5023500000000001,0.003535494855745091,0.48916454545454546
11,6,0.5052,0.003535342699088732,0.4891690909090909
13,0,0.50325,0.0035354592169900647,0.4889780303030303
13,1,0.49975,0.0035355334639909715,0.48888939393939396
13,2,0.50295,0.0035354723694295785,0.48896742424242423
13,3,0.50215,0.003535501219770685,0.4892102272727273
13,4,0.5025,0.003535489711482696,0.4891537878787879
15,0,0.49885,0.003535524554433189,0.48897857142857143
15,1,0.5005999999999999,0.0035355313603474088,0.48905324675324674
15,2,0.49870000000000003,0.0035355219558079395,0.48909123376623376
17,0,0.5006999999999999,0.003535530441107812,0.48908551136363637
