d,i,P_L,err,pdet_mean
3,0,0.503,0.003535470265749664,0.49774772727272726
3,1,0.49555000000000005,0.003535393878339442,0.49768636363636365
3,2,0.49875,0.003535522857372018,0.49717727272727275
3,3,0.49744999999999995,0.0035354879260153047,0.49660227272727275
3,4,0.49295,0.0035351824387151506,0.496225
3,5,0.49724999999999997,0.003535480430578,0.49580227272727273
3,6,0.49705,0.0035354723694295785,0.4965227272727273
3,7,0.49675,0.0035354592169900647,0.4965636363636364
3,8,0.49634999999999996,0.003535439700376744,0.49537045454545453
3,9,0.49585,0.0035354121223698945,0.49571363636363636
3,10,0.49665000000000004,0.0035354545499836367,0.4968318181818182
3,11,0.49260000000000004,0.003535146673053326,0.4975568181818182
3,12,0.4938,0.003535262083636799,0.49705
3,13,0.49855000000000005,0.0035355190389814053,0.497625
3,14,0.5021,0.003535502722386167,0.4980590909090909
5,0,0.49670000000000003,0.0035354569011656753,0.4974625
5,1,0.49634999999999996,0.003535439700376744,0.4971443181818182
5,2,0.49760000000000004,0.0035354931763475375,0.4967011363636364
5,3,0.4969,0.003535465952318025,0.49620227272727274
5,4,0.49275,0.00353516221339276,0.49637386363636365
5,5,0.5014000000000001,0.003535520046612662,0.4961829545454545
5,6,0.5004500000000001,0.003535532474041216,0.49594659090909093
5,7,0.4909,0.0035349483023093846,0.49613863636363637
5,8,0.4992,0.0035355293804464416,0.49610113636363634
5,9,0.503,0.003535470265749664,0.4966352272727273
5,10,0.5035000000000001,0.0035354472842909143,0.4969409090909091
5,11,0.5048,0.0035353709847765623,0.4975909090909091
5,12,0.49734999999999996,0.0035354842490103104,0.49755454545454547
7,0,0.49744999999999995,0.0035354879260153047,0.49705
7,1,0.49875,0.003535522857372018,0.4966969696969697
7,2,0.49760000000000004,0.0035354931763475375,0.49664166666666665
7,3,0.5022,0.0035354996817988826,0.49632272727272725
7,4,0.5024,0.0035354931763475375,0.49603939393939395
7,5,0.49560000000000004,0.003535397007409493,0.49602651515151513
7,6,0.49929999999999997,0.003535530441107812,0.4962416666666667
7,7,0.49739999999999995,0.0035354861051911943,0.49661136363636366
7,8,0.5025,0.003535489711482696,0.49641742424242424
7,9,0.49955000000000005,0.0035355324740412157,0.4969651515151515
7,10,0.49350000000000005,0.0035352351406943215,0.49731363636363635
9,0,0.49855000000000005,0.0035355190389814053,0.4969181818181818
9,1,0.4982,0.0035355109955987974,0.49666363636363636
9,2,0.49739999999999995,0.0035354861051911943,0.49632386363636366
9,3,0.5038,0.003535431798239078,0.49617045454545455
9,4,0.4978,0.0035354996817988826,0.4962375
9,5,0.503,0.003535470265749664,0.4964090909090909
9,6,0.5043500000000001,0.003535400101120098,0.49644375
9,7,0.4989,0.0035355253499303324,0.49686477272727275
9,8,0.49929999999999997,0.003535530441107812,0.49682784090909093
11,0,0.49444999999999995,0.0035353160926570627,0.4966086363636364
11,1,0.49739999999999995,0.0035354861051911943,0.49647363636363634
11,2,0.4981,0.003535508379285785,0.49642545454545456
11,3,0.50325,0.0035354592169900647,0.4964477272727273
11,4,0.5016499999999999,0.0035355146548982086,0.4964
11,5,0.5025,0.003535489711482696,0.49665227272727275
11,6,0.4972,0.0035354784683264582,0.49676681818181817
13,0,0.494,0.0035352793383267465,0.49664583333333334
13,1,0.49815,0.003535509705120324,0.4966541666666667
13,2,0.49985,0.003535533746833708,0.4965295454545455
13,3,0.49660000000000004,0.0035354521634438783,0.4966439393939394
13,4,0.49495,0.0035353535714267676,0.4966765151515152
15,0,0.5018,0.0035355109955987974,0.4967035714285714
15,1,0.49885,0.003535524554433189,0.49679285714285715
15,2,0.49760000000000004,0.0035354931763475375,0.49674805194805194
17,0,0.49934999999999996,0.0035355309184053247,0.4968730113636364
