d,i,P_L,err,pdet_mean
3,0,0.5001,0.003535533835222059,0.49926363636363635
3,1,0.50055,0.0035355317669340776,0.49818636363636365
3,2,0.4988,0.003535523723580426,0.4991659090909091
3,3,0.4968,0.0035354614974568736,0.5002
3,4,0.4929,0.0035351774354337577,0.49937954545454544
3,5,0.49365000000000003,0.003535248771303089,0.4983568181818182
3,6,0.49875,0.003535522857372018,0.49805
3,7,0.4937,0.0035352532441113747,0.49866818181818184
3,8,0.4978,0.0035354996817988826,0.4978318181818182
3,9,0.4979,0.003535502722386167,0.4984863636363636
3,10,0.5005,0.0035355321381653425,0.49860454545454547
3,11,0.4979,0.003535502722386167,0.4985931818181818
3,12,0.5115000000000001,0.0035345986335084782,0.4990090909090909
3,13,0.4998,0.003535533623090014,0.49924318181818184
3,14,0.49634999999999996,0.003535439700376744,0.49866136363636365
5,0,0.49875,0.003535522857372018,0.4992147727272727
5,1,0.4968,0.0035354614974568736,0.49919318181818184
5,2,0.50205,0.003535504189645375,0.49927272727272726
5,3,0.4961,0.0035354263533554195,0.4992784090909091
5,4,0.4999,0.003535533835222059,0.4987147727272727
5,5,0.4951,0.003535364125518049,0.4985125
5,6,0.49315,0.003535202098183356,0.4979409090909091
5,7,0.50185,0.003535509705120324,0.4985772727272727
5,8,0.5008,0.0035355293804464416,0.49821818181818184
5,9,0.49265000000000003,0.0035351518885332212,0.49853977272727273
5,10,0.49470000000000003,0.0035353352740581765,0.49880681818181816
5,11,0.49775,0.0035354981084707144,0.4989181818181818
5,12,0.5018,0.0035355109955987974,0.4988352272727273
7,0,0.49475,0.0035353390042540474,0.499269696969697
7,1,0.501,0.003535526834857855,0.49891439393939396
7,2,0.498,0.0035355056215483523,0.49886515151515154
7,3,0.50225,0.0035354981084707144,0.499075
7,4,0.49624999999999997,0.0035354344676432627,0.4984204545454545
7,5,0.49834999999999996,0.003535514654898209,0.49850378787878785
7,6,0.4949,0.0035353499826749827,0.4981621212121212
7,7,0.49824999999999997,0.0035355122507212443,0.49858257575757575
7,8,0.49934999999999996,0.0035355309184053247,0.4984818181818182
7,9,0.49965000000000004,0.0035355330397268247,0.4987742424242424
7,10,0.49929999999999997,0.003535530441107812,0.49875833333333336
9,0,0.5025999999999999,0.0035354861051911943,0.49896477272727274
9,1,0.502,0.0035355056215483523,0.49885284090909093
9,2,0.5015000000000001,0.0035355179959943635,0.4986068181818182
9,3,0.5019,0.003535508379285785,0.4989278409090909
9,4,0.49395,0.0035352750776990465,0.49846647727272725
9,5,0.4989,0.0035355253499303324,0.49852613636363635
9,6,0.5014000000000001,0.003535520046612662,0.49837386363636366
9,7,0.50105,0.00353552611007188,0.49874772727272726
9,8,0.49834999999999996,0.003535514654898209,0.49852670454545456
11,0,0.49815,0.003535509705120324,0.4987381818181818
11,1,0.5018,0.0035355109955987974,0.49877954545454545
11,2,0.4961,0.0035354263533554195,0.4986063636363636
11,3,0.49934999999999996,0.0035355309184053247,0.4988609090909091
11,4,0.49450000000000005,0.003535319999660568,0.498575
11,5,0.5017499999999999,0.0035355122507212443,0.49866954545454545
11,6,0.5015000000000001,0.0035355179959943635,0.49843136363636364
13,0,0.5001,0.003535533835222059,0.49871590909090907
13,1,0.49855000000000005,0.0035355190389814053,0.49874848484848483
13,2,0.49775,0.0035354981084707144,0.49867348484848484
13,3,0.5032,0.0035354614974568736,0.4989246212121212
13,4,0.49850000000000005,0.0035355179959943635,0.49858939393939394
15,0,0.49805,0.0035355070180951415,0.4987577922077922
15,1,0.502,0.0035355056215483523,0.49881915584415587
15,2,0.49939999999999996,0.0035355313603474088,0.4986717532467532
17,0,0.49724999999999997,0.003535480430578,0.4987457386363636
